Vertical 
  1  0.00  0.00  24.32  0.49  -0.55  2.05  1.59  1.12  -0.14  -0.04  0.15  -0.27  -0.05  -0.17  -0.523  0.983  0.037  4.00 
  2  0.00  0.00  24.98  0.47  -0.57  1.88  1.58  1.11  -0.11  -0.07  0.20  -0.22  -0.20  -0.19  -0.560  0.802  -0.106  3.63 
  3  0.00  0.00  25.42  0.50  -0.70  1.91  1.48  1.11  -0.35  -0.04  0.18  -0.24  -0.03  -0.01  -0.417  0.805  -0.061  3.53 
  4  0.00  0.00  25.73  0.43  -0.65  1.91  1.45  1.11  -0.28  -0.04  0.17  -0.32  -0.10  -0.16  -0.430  0.890  -0.049  3.49 
  5  0.00  0.00  26.14  0.41  -0.72  1.80  1.44  1.04  -0.29  -0.07  0.27  -0.46  -0.10  -0.12  -0.284  0.644  -0.027  3.21 
  6  0.00  0.00  26.86  0.58  -0.75  1.83  1.74  1.05  -0.30  -0.01  0.39  -0.34  -0.02  -0.03  -0.179  0.722  -0.011  3.74 
  7  0.00  0.00  27.19  0.43  -0.78  1.58  1.25  0.99  -0.38  -0.06  0.33  -0.35  0.04  -0.17  -0.266  0.646  0.016  2.54 
  8  0.00  0.00  27.30  0.45  -0.77  1.76  1.52  0.97  -0.48  -0.08  0.35  -0.16  0.05  0.11  -0.297  0.635  -0.025  3.18 
  9  0.00  0.00  27.92  0.41  -0.81  1.71  1.08  0.86  0.00  -0.10  0.44  2.03  0.24  0.19  -0.144  0.500  -0.003  2.42 
  10  0.00  0.00  28.15  0.38  -0.84  1.42  1.20  0.80  -0.73  -0.10  0.31  1.21  0.24  0.14  -0.075  0.347  0.015  2.05 
  11  0.00  0.00  28.63  0.31  -0.88  1.17  0.95  0.70  -0.52  -0.08  0.38  0.03  0.22  0.13  0.005  0.217  -0.025  1.38 
  12  0.00  0.00  28.46  0.24  -0.77  1.30  1.03  0.76  -0.66  -0.32  0.50  0.20  0.38  0.33  -0.034  0.315  0.048  1.66 
  13  0.00  0.00  29.15  0.23  -0.86  0.90  0.90  0.60  -0.56  -0.17  0.18  0.65  0.36  0.34  -0.006  0.110  0.032  0.99 
  14  0.00  0.00  29.24  0.22  -0.88  1.00  0.81  0.60  -0.63  -0.22  0.26  0.48  0.28  0.54  -0.016  0.152  0.004  1.01 
  15  0.00  0.00  29.45  0.25  -0.76  1.52  1.11  0.56  -3.66  0.12  0.15  43.45  1.17  0.20  -0.004  0.112  0.008  1.94 
  16  0.00  0.00  28.90  0.48  -0.49  1.82  0.98  0.67  -1.92  0.39  0.52  7.64  0.57  1.78  0.086  0.265  -0.116  2.37 
