11.60 -1.00 -1.52
24.45 -3.48 -0.68
22.17 -3.98 -1.88
24.43 -0.37 -0.74
23.01 -0.94 -1.96
20.02 -2.36 -2.22
19.58 0.05 -1.11
17.25 -4.65 -0.02
17.82 -0.72 0.09
16.04 -0.31 -0.96
14.05 -5.59 0.18
23.87 1.63 -0.93
22.27 1.54 -0.98
23.07 -0.16 -0.68
21.84 -1.45 -1.25
22.36 0.24 -0.46
20.83 0.24 -0.62
19.37 2.63 -0.95
20.82 -0.34 -1.18
19.60 -0.28 -1.44
19.56 0.49 -1.41
18.42 2.42 -1.28
17.92 1.93 -0.01
17.62 -0.95 0.29
21.99 2.91 0.42
20.87 2.43 -0.48
20.85 2.63 -0.42
21.52 1.95 -0.37
17.46 3.16 -0.20
21.26 0.86 -0.50
22.46 0.29 -1.78
20.28 0.09 -0.79
20.27 1.49 -0.30
22.67 0.51 -1.62
21.99 0.46 -2.40
19.53 -0.28 -3.07
18.66 -2.49 -2.10
16.44 -0.43 -2.31
16.41 -0.72 -0.44
17.64 0.28 -1.05
18.52 -0.26 -1.53
18.87 -0.64 -1.36
16.70 -2.85 -0.70
18.54 -1.29 -0.29
14.92 -1.57 0.42
18.00 0.59 0.69
17.54 -0.85 -1.82
12.93 0.38 -0.88
15.11 0.25 -0.24
12.47 1.77 -0.23
16.24 -2.54 -0.83
18.31 -0.53 0.20
14.21 -0.36 0.57
18.68 1.91 0.49
16.79 -0.29 0.93
19.73 4.20 1.15
19.56 3.86 0.13
19.97 2.51 -0.32
19.37 0.50 -0.90
16.24 0.01 -0.67
15.80 1.79 -0.48
15.91 -0.33 0.12
16.49 2.52 -0.26
18.44 -1.06 -0.38
12.25 0.13 0.22
12.52 1.30 0.34
14.21 0.03 0.48
16.23 0.54 0.28
17.21 -0.52 0.07
20.32 3.50 0.20
20.27 4.60 -0.09
17.30 2.16 0.46
16.42 5.53 0.73
14.42 7.47 1.09
15.13 6.68 -0.05
15.71 3.47 0.33
