0.00 11.60 -1.00 -1.52
0.04 24.45 -3.48 -0.68
0.08 22.17 -3.98 -1.88
0.12 24.43 -0.37 -0.74
0.16 23.01 -0.94 -1.96
0.20 20.02 -2.36 -2.22
0.24 19.58 0.05 -1.11
0.28 17.25 -4.65 -0.02
0.32 17.82 -0.72 0.09
0.36 16.04 -0.31 -0.96
0.40 14.05 -5.59 0.18
0.44 23.87 1.63 -0.93
0.48 22.27 1.54 -0.98
0.52 23.07 -0.16 -0.68
0.56 21.84 -1.45 -1.25
0.60 22.36 0.24 -0.46
0.64 20.83 0.24 -0.62
0.68 19.37 2.63 -0.95
0.72 20.82 -0.34 -1.18
0.76 19.60 -0.28 -1.44
0.80 19.56 0.49 -1.41
0.84 18.42 2.42 -1.28
0.88 17.92 1.93 -0.01
0.92 17.62 -0.95 0.29
0.96 21.99 2.91 0.42
1.00 20.87 2.43 -0.48
1.04 20.85 2.63 -0.42
1.08 21.52 1.95 -0.37
1.12 17.46 3.16 -0.20
1.16 21.26 0.86 -0.50
1.20 22.46 0.29 -1.78
1.24 20.28 0.09 -0.79
1.28 20.27 1.49 -0.30
1.32 22.67 0.51 -1.62
1.36 21.99 0.46 -2.40
1.40 19.53 -0.28 -3.07
1.44 18.66 -2.49 -2.10
1.48 16.44 -0.43 -2.31
1.52 16.41 -0.72 -0.44
1.56 17.64 0.28 -1.05
1.60 18.52 -0.26 -1.53
1.64 18.87 -0.64 -1.36
1.68 16.70 -2.85 -0.70
1.72 18.54 -1.29 -0.29
1.76 14.92 -1.57 0.42
1.80 18.00 0.59 0.69
1.84 17.54 -0.85 -1.82
1.88 12.93 0.38 -0.88
1.92 15.11 0.25 -0.24
1.96 12.47 1.77 -0.23
2.00 16.24 -2.54 -0.83
2.04 18.31 -0.53 0.20
2.08 14.21 -0.36 0.57
2.12 18.68 1.91 0.49
2.16 16.79 -0.29 0.93
2.20 19.73 4.20 1.15
2.24 19.56 3.86 0.13
2.28 19.97 2.51 -0.32
2.32 19.37 0.50 -0.90
2.36 16.24 0.01 -0.67
2.40 15.80 1.79 -0.48
2.44 15.91 -0.33 0.12
2.48 16.49 2.52 -0.26
2.52 18.44 -1.06 -0.38
2.56 12.25 0.13 0.22
2.60 12.52 1.30 0.34
2.64 14.21 0.03 0.48
2.68 16.23 0.54 0.28
2.72 17.21 -0.52 0.07
2.76 20.32 3.50 0.20
2.80 20.27 4.60 -0.09
2.84 17.30 2.16 0.46
2.88 16.42 5.53 0.73
2.92 14.42 7.47 1.09
2.96 15.13 6.68 -0.05
3.00 15.71 3.47 0.33
3.04 17.10 1.07 -0.03
3.08 17.20 -0.74 -0.63
3.12 19.30 1.53 -1.44
3.16 16.99 -1.07 -0.97
3.20 20.24 1.29 -0.74
3.24 16.58 2.65 -0.33
3.28 20.25 3.15 -0.26
3.32 20.20 1.00 -0.75
3.36 14.42 -0.60 -0.10
3.40 15.74 2.68 -0.09
3.44 16.29 1.29 -0.42
3.48 16.93 0.84 -0.73
3.52 17.71 1.68 -0.69
3.56 19.44 1.85 -1.92
3.60 17.23 4.91 -2.55
3.64 13.00 3.59 -1.38
3.68 17.43 0.57 -0.93
3.72 17.65 -1.48 -1.62
3.76 11.90 -0.05 0.51
3.80 12.96 3.30 -0.46
3.84 19.53 1.04 -0.21
3.88 17.74 2.84 -0.11
3.92 17.16 3.62 -0.32
3.96 17.11 3.17 -0.52
4.00 15.36 2.26 2.12
4.04 19.96 2.15 0.62
4.08 20.40 1.58 0.32
4.12 17.44 -4.82 0.98
4.16 10.32 8.33 0.83
4.20 18.06 4.84 2.99
4.24 19.97 -1.76 -1.24
4.28 12.71 -7.03 -0.18
4.32 16.36 3.14 0.28
4.36 18.18 1.24 0.06
4.40 16.24 0.05 -0.47
4.44 14.57 -0.64 0.22
4.48 17.94 -0.17 0.00
4.52 21.19 -1.01 0.01
4.56 15.09 2.67 -1.17
4.60 18.82 1.70 -1.43
4.64 18.92 1.19 -1.77
4.68 18.47 0.26 -1.90
4.72 13.71 1.87 -0.34
4.76 14.83 0.51 0.33
4.80 17.46 -1.32 0.00
4.84 17.57 1.76 -1.25
4.88 16.52 3.33 -1.24
4.92 17.59 1.24 -1.11
4.96 20.33 4.04 -1.45
5.00 18.31 3.89 -2.23
5.04 17.23 2.35 -1.47
5.08 15.83 4.58 -0.81
5.12 19.71 0.57 -0.15
5.16 17.54 0.72 -1.61
5.20 14.46 2.43 -0.04
5.24 14.95 3.62 0.00
5.28 14.52 3.90 0.75
5.32 19.24 -1.56 -0.29
5.36 16.52 -2.62 -0.86
5.40 18.22 0.30 0.27
5.44 19.74 2.49 -0.44
5.48 19.76 0.46 -2.18
5.52 19.52 2.74 -2.34
5.56 17.81 2.72 -1.74
5.60 17.43 3.33 -0.80
5.64 18.93 4.59 -1.14
5.68 19.22 2.15 -1.22
5.72 19.02 0.44 -0.90
5.76 16.30 0.81 -0.98
5.80 16.09 -1.23 -0.53
5.84 17.87 -0.24 -0.36
5.88 16.64 5.83 0.86
5.92 17.41 6.33 -0.50
5.96 14.97 0.91 1.20
6.00 15.21 1.39 0.80
6.04 16.11 2.65 -0.76
6.08 13.27 4.44 1.10
6.12 16.42 4.07 0.76
6.16 19.74 3.42 -0.86
6.20 15.05 4.50 0.54
6.24 14.78 1.33 0.15
6.28 17.90 2.13 0.23
6.32 15.72 0.28 0.48
6.36 15.76 -0.45 0.17
6.40 15.97 0.48 1.05
6.44 14.17 1.05 0.72
6.48 15.95 2.50 -0.41
6.52 16.73 3.10 -1.23
6.56 18.47 3.01 -1.91
6.60 16.03 2.88 -1.93
6.64 16.99 -0.26 0.18
6.68 12.80 1.15 0.33
6.72 13.49 0.17 0.44
6.76 14.30 1.05 -0.23
6.80 16.98 0.01 -0.46
6.84 17.41 -2.99 -0.63
6.88 13.53 -2.22 0.01
6.92 16.62 -0.48 0.81
6.96 18.74 -1.34 -1.04
7.00 12.18 1.68 -1.40
7.04 18.64 -3.02 -0.66
7.08 21.70 -1.54 -1.06
7.12 22.09 0.85 -1.50
7.16 24.62 0.43 -3.77
7.20 16.65 -2.86 -0.96
7.24 22.17 -2.80 -0.56
7.28 21.74 -2.65 -2.32
7.32 17.19 -2.21 0.15
7.36 18.44 1.75 -1.13
7.40 11.77 2.70 0.50
7.44 16.27 2.74 1.00
7.48 17.80 1.48 0.35
7.52 20.25 -1.98 -1.42
7.56 18.41 -1.71 -1.37
7.60 18.52 -1.60 -1.50
7.64 23.96 -0.40 0.35
7.68 21.98 0.37 -1.50
7.72 22.82 -0.20 -1.74
7.76 24.35 -3.41 -3.01
7.80 24.30 -3.67 -1.89
7.84 22.04 -2.88 -1.84
7.88 21.91 -2.16 -3.28
7.92 21.06 -4.45 -0.79
7.96 23.78 -0.08 -1.03
8.00 20.32 -3.22 -1.16
8.04 21.84 -2.08 -1.26
8.08 21.76 0.60 -1.48
8.12 21.73 0.55 -0.29
8.16 20.63 0.15 -0.99
8.20 21.23 -1.00 -2.24
8.24 21.35 1.94 -2.92
8.28 22.02 1.30 -2.89
8.32 20.32 -0.40 -2.39
8.36 21.13 0.22 -0.77
8.40 18.08 1.81 -0.53
8.44 16.41 1.25 -0.04
8.48 18.01 3.37 0.02
8.52 13.62 5.86 -1.82
8.56 18.60 4.62 -0.51
8.60 20.11 -0.38 -0.86
8.64 20.82 0.38 -0.68
8.68 23.80 0.44 -0.44
8.72 18.21 -0.13 1.04
8.76 19.25 1.35 1.82
8.80 19.63 -3.90 0.73
8.84 19.05 -3.13 0.56
8.88 19.80 -1.14 0.03
8.92 19.73 4.33 -1.32
8.96 19.68 1.00 -1.75
9.00 18.21 -1.12 -1.57
9.04 16.07 -0.63 0.80
9.08 18.70 -1.76 4.19
9.12 19.40 0.04 2.05
9.16 21.35 1.25 3.48
9.20 22.84 1.48 -1.83
9.24 22.44 1.00 -0.18
9.28 18.13 2.26 -0.23
9.32 18.78 0.33 -0.30
9.36 20.32 0.01 0.61
9.40 23.89 -2.60 -0.14
9.44 23.74 0.61 -1.87
9.48 25.54 1.85 -3.18
9.52 21.56 0.72 -3.44
9.56 15.31 -1.34 -2.03
9.60 19.84 1.68 -0.22
9.64 22.10 -0.77 -0.88
9.68 22.18 -1.55 -1.00
9.72 23.29 -2.40 -1.00
9.76 22.79 0.24 -0.98
9.80 23.84 -0.02 -1.87
9.84 22.79 0.46 -1.93
9.88 24.68 1.40 -1.48
9.92 19.34 -1.13 -1.92
9.96 19.52 -0.36 -0.80
10.00 17.46 -2.86 0.02
10.04 20.09 0.20 0.33
10.08 23.30 5.00 -0.11
10.12 24.34 -0.52 -2.29
10.16 21.56 -2.47 -2.03
10.20 24.58 -2.83 -1.30
10.24 20.74 -3.05 -0.62
10.28 22.26 0.16 -1.18
10.32 24.27 2.20 0.11
10.36 24.56 1.24 -1.01
10.40 20.79 0.77 -1.17
10.44 19.06 -0.08 -0.97
10.48 20.49 -0.75 -0.33
10.52 19.99 0.36 -0.15
10.56 16.76 0.15 0.34
10.60 18.35 0.07 -1.01
10.64 18.16 1.50 -2.14
10.68 19.41 -1.36 -1.58
10.72 18.99 -0.37 -1.43
10.76 18.28 -2.62 -1.43
10.80 19.00 -1.92 0.30
10.84 20.60 -4.35 0.01
10.88 19.97 0.99 -1.50
10.92 20.92 -1.26 -1.53
10.96 22.08 -1.42 -0.94
11.00 23.05 -0.33 -1.57
11.04 18.66 4.33 -1.25
11.08 19.24 -0.01 -1.17
11.12 21.92 3.66 -1.62
11.16 21.73 2.20 -1.99
11.20 15.97 2.25 -0.23
11.24 16.72 -1.98 0.67
11.28 20.58 0.91 0.17
11.32 22.52 0.20 -0.70
11.36 23.67 -2.12 -2.23
11.40 23.46 2.75 -2.24
11.44 22.29 1.89 -1.86
11.48 20.50 0.13 -1.23
11.52 14.14 1.48 -2.05
11.56 9.45 2.13 -1.90
11.60 11.40 -1.58 -0.70
11.64 17.85 1.17 1.11
11.68 19.55 -0.52 0.52
11.72 19.92 0.80 -0.92
11.76 19.33 1.08 -0.83
11.80 19.74 0.01 -0.92
11.84 15.48 2.42 0.48
11.88 15.18 1.50 1.28
11.92 20.74 1.16 0.42
11.96 23.38 0.97 -1.97
12.00 18.18 -0.93 -2.47
12.04 21.23 -0.04 -0.23
12.08 19.98 -1.18 0.12
12.12 18.24 -1.90 0.25
12.16 22.51 3.32 -0.89
12.20 22.12 4.42 -0.86
12.24 20.37 0.46 -1.54
12.28 20.15 2.16 -0.70
12.32 23.45 2.11 -0.21
12.36 20.98 1.10 -0.51
12.40 22.82 1.61 -0.29
12.44 21.93 -0.21 0.66
12.48 20.27 -0.19 0.18
12.52 18.62 -2.89 0.33
12.56 18.68 -3.50 0.33
12.60 18.09 -3.33 0.10
12.64 17.30 -0.76 -0.72
12.68 12.67 2.79 1.60
12.72 24.27 -0.33 -1.19
12.76 22.40 -0.75 -1.72
12.80 23.20 -2.56 -1.32
12.84 20.30 -5.12 -1.07
12.88 23.51 -1.38 -1.41
12.92 24.43 -1.20 -0.45
12.96 22.72 -1.24 -1.38
13.00 23.91 -1.67 -1.20
13.04 21.85 -1.03 -1.48
13.08 24.21 -0.85 -1.42
13.12 21.56 0.95 -0.43
13.16 22.28 -0.77 0.09
13.20 23.43 -0.87 -1.35
13.24 23.18 -0.43 -1.10
13.28 22.32 -0.07 -1.61
13.32 21.65 0.04 -1.37
13.36 19.54 0.15 -1.06
13.40 19.75 -2.13 0.23
13.44 19.42 -1.83 0.74
13.48 19.14 -2.23 0.33
13.52 20.28 -2.42 -0.60
13.56 17.75 -2.72 -1.11
13.60 19.44 0.28 -0.79
13.64 20.46 -0.24 -0.97
13.68 20.86 0.49 -1.31
13.72 19.95 -0.13 -0.30
13.76 18.94 0.77 -0.99
13.80 20.08 -0.35 -1.26
13.84 20.74 -2.01 -2.01
13.88 21.04 0.14 -0.58
13.92 20.21 1.21 -0.97
13.96 20.13 0.30 -1.15
14.00 20.20 1.48 -0.76
14.04 19.46 1.33 -1.11
14.08 15.29 -0.57 -0.55
14.12 19.62 -0.37 -0.32
14.16 19.19 0.58 -0.59
14.20 17.70 -0.21 0.25
14.24 19.51 -0.04 -0.49
14.28 15.36 0.49 -0.65
14.32 16.97 -0.84 -0.79
14.36 18.46 -0.60 -0.43
14.40 16.33 1.45 -0.14
14.44 19.47 -0.32 -0.39
14.48 20.83 -0.66 -1.66
14.52 15.40 0.37 -1.60
14.56 15.96 2.15 1.48
14.60 18.50 3.94 -0.16
14.64 14.72 -2.47 1.52
14.68 18.17 3.06 2.43
14.72 16.67 0.01 1.49
14.76 22.11 0.90 -0.20
14.80 23.61 1.14 0.29
14.84 23.09 2.16 -0.92
14.88 13.73 0.44 -0.80
14.92 14.40 -0.78 0.80
14.96 20.08 4.37 1.02
15.00 16.69 5.82 1.37
15.04 20.15 5.79 2.93
15.08 19.26 4.39 -0.23
15.12 19.56 4.96 -1.10
15.16 18.66 2.44 -1.15
15.20 19.06 3.89 -0.97
15.24 18.39 2.00 -1.13
15.28 18.71 2.00 -1.56
15.32 17.20 4.27 -1.56
15.36 15.81 2.50 -1.00
15.40 13.09 1.50 0.38
15.44 17.99 0.87 0.36
15.48 15.89 -1.41 -0.23
15.52 18.19 2.33 -0.45
15.56 17.06 2.83 -0.41
15.60 19.73 -0.82 -1.20
15.64 21.77 0.44 -0.35
15.68 22.37 1.54 -1.09
15.72 16.69 0.03 -1.11
15.76 14.36 0.35 0.80
15.80 15.56 -3.82 -0.08
15.84 16.22 -5.96 -0.51
15.88 13.95 -2.98 0.32
15.92 13.31 -0.75 1.20
15.96 18.51 1.19 0.24
16.00 17.49 -2.21 -1.10
16.04 17.05 -1.01 -1.33
16.08 16.29 0.93 -1.26
16.12 15.26 2.24 -0.37
16.16 13.06 -0.65 -0.07
16.20 15.22 -1.13 -0.13
16.24 17.32 -2.09 0.27
16.28 20.02 -1.83 -2.09
16.32 16.97 -4.02 -1.97
16.36 21.51 0.92 -1.06
16.40 22.45 0.42 -1.80
16.44 16.43 2.30 -1.16
16.48 18.45 -0.95 -2.25
16.52 13.44 5.02 1.38
16.56 18.04 0.96 0.99
16.60 15.37 3.01 0.09
16.64 15.57 -1.19 -0.79
16.68 15.93 -1.14 -0.26
16.72 12.70 0.75 1.89
16.76 15.28 2.49 2.31
16.80 16.71 -1.32 2.90
16.84 21.51 -0.50 0.42
16.88 22.51 -0.57 -2.05
16.92 17.89 -0.85 -1.74
16.96 13.97 0.97 -0.64
17.00 16.57 1.03 0.55
17.04 18.92 0.11 0.68
17.08 20.43 0.43 -1.25
17.12 20.10 0.80 -1.51
17.16 19.09 2.09 -0.34
17.20 18.06 0.36 -0.33
17.24 18.16 2.24 -0.85
17.28 20.27 -1.18 -0.11
17.32 21.08 -2.31 -0.43
17.36 19.64 -1.08 -0.40
17.40 19.00 -3.04 0.04
17.44 17.01 -1.16 -0.02
17.48 18.17 0.45 -0.11
17.52 19.96 -0.45 -1.03
17.56 15.64 0.77 -1.73
17.60 13.38 2.99 -1.42
17.64 15.20 4.68 -0.94
17.68 15.06 3.35 -1.02
17.72 17.81 0.16 -1.78
17.76 14.31 1.00 -0.84
17.80 14.78 -0.84 -0.38
17.84 15.73 -0.42 -1.11
17.88 17.12 0.93 -1.73
17.92 9.01 0.57 0.05
17.96 14.52 -2.28 1.08
18.00 14.79 -0.94 0.50
18.04 15.83 -1.67 0.42
18.08 15.73 1.05 0.12
18.12 14.28 0.25 -0.09
18.16 17.44 2.80 -0.07
18.20 18.31 -2.04 0.22
18.24 19.28 -3.11 -0.34
18.28 14.52 2.60 0.56
18.32 15.22 2.32 -0.02
18.36 13.44 -0.50 -0.25
18.40 18.12 -1.94 0.47
