Desktop_Software_Build_Version,2.0
004;16:36:12;47,54253N;011,35743E;16,4;NaN;0,57;NaN;NaN;NaN;0,6;0,342;60;3;0,982;0,054;-0,078;3,137;0,021;0,017;0,03;25,296;24,258;26,611;Best;9,917;3,874;1,00;NaN;NaN;NaN;NaN
004;16:33:38;47,54253N;011,35743E;16,4;NaN;0,57;NaN;NaN;NaN;0,8;0,456;60;1;0,698;-0,037;-0,067;-3,034;0,027;0,011;0,037;25,357;24,382;27,353;Best;9,96;7,103;1,00;NaN;NaN;NaN;NaN
005;16:45:11;47,54251N;011,35737E;15,9;NaN;0,699;NaN;NaN;NaN;0,2;0,14;60;4;1,27;-0,252;0,012;-11,219;0,022;0,013;0,027;19,859;19,586;20,995;Best;9,792;1,792;1,00;1,008;0,349;0,352;21,837
005;16:44:06;47,54251N;011,35737E;15,9;NaN;0,699;NaN;NaN;NaN;0,6;0,419;60;3;1,033;-0,069;0,02;-3,814;0,028;0,017;0,043;23,209;23,203;25,474;Best;9,885;7,075;1,00;NaN;NaN;NaN;NaN
005;16:42:59;47,54251N;011,35737E;15,9;NaN;0,699;NaN;NaN;NaN;0,8;0,559;60;0;0,695;0,025;0,05;2,025;0,028;0,013;0,036;24,008;23,589;25,97;Best;9,922;2,84;1,00;NaN;NaN;NaN;NaN
006;16:50:18;47,54252N;011,35742E;15,4;NaN;0,786;NaN;NaN;NaN;0,2;0,157;60;4;1,416;0,092;-0,088;3,737;0,021;0,014;0,029;19,137;18,849;20,412;Best;9,735;2,797;1,00;1,06;0,393;0,417;25,826
006;16:49:00;47,54252N;011,35742E;15,4;NaN;0,786;NaN;NaN;NaN;0,6;0,472;60;0;1,159;-0,102;-0,188;-5,047;0,03;0,017;0,064;21,005;21,019;22,831;Best;9,81;4,395;1,00;NaN;NaN;NaN;NaN
006;16:47:45;47,54252N;011,35742E;15,4;NaN;0,786;NaN;NaN;NaN;0,8;0,629;60;5;0,507;0,518;-0,057;45,61;0,029;0,023;0,029;27,654;26,952;29,455;Best;9,885;6,302;1,00;NaN;NaN;NaN;NaN
007;16:55:40;47,54253N;011,35745E;14,9;NaN;0,786;NaN;NaN;NaN;0,2;0,157;60;0;1,348;0,004;-0,017;0,182;0,026;0,015;0,033;17,829;17,608;19,369;Best;9,698;1,888;1,00;1,111;0,197;0,218;13,533
007;16:53:45;47,54253N;011,35745E;14,9;NaN;0,786;NaN;NaN;NaN;0,6;0,472;60;1;1,107;-0,165;-0,112;-8,502;0,029;0,016;0,05;23,47;23,203;24,913;Best;9,775;9,921;1,00;NaN;NaN;NaN;NaN
007;16:52:26;47,54253N;011,35745E;14,9;NaN;0,786;NaN;NaN;NaN;0,8;0,629;60;1;0,883;-0,184;0,043;-11,79;0,031;0,019;0,048;26,981;26,921;28,976;Best;9,826;7,044;1,00;NaN;NaN;NaN;NaN
