St;Uhr;GPSLat;GPSLon;Loc;LocY;FinalD;IceD;WsIceD;WsSlushD;%Tiefe;MeasD;Npts;Spike;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;Bnd;Temp;Neigung;KorrFakt;MeanV;Fläche;Durchfluss;%Q
(#);();(deg N);(deg E);(m);(m);(m);(m);(m);(m);();(m);(#);(#);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);();(° C);(deg);();(m/s);(m²);(m³/s);(%)
005;13:40:23;47,54112N;011,35460E;9,8;NaN;0,594;NaN;NaN;NaN;0,6;0,356;60;0;1,018;-0,046;-0,126;-2,598;0,022;0,009;0,025;22,052;21,079;23,573;Best;9,246;7,9;1,00;NaN;NaN;NaN;NaN
005;13:39:13;47,54112N;011,35460E;9,8;NaN;0,594;NaN;NaN;NaN;0,8;0,475;60;1;0,761;-0,003;0,001;-0,219;0,023;0,011;0,034;21,962;21,512;23,464;Best;9,246;3,294;1,00;NaN;NaN;NaN;NaN
006;13:45:28;47,54107N;011,35463E;9,3;NaN;0,602;NaN;NaN;NaN;0,2;0,12;60;2;1,122;-0,038;-0,041;-1,942;0,014;0,006;0,015;21,674;21,31;23,711;Best;9,246;2,721;1,00;0,937;0,301;0,282;5,542
006;13:44:01;47,54107N;011,35463E;9,3;NaN;0,602;NaN;NaN;NaN;0,6;0,361;60;3;0,916;-0,069;-0,037;-4,295;0,016;0,008;0,024;21,987;21,685;23,664;Best;9,246;8,889;1,00;NaN;NaN;NaN;NaN
006;13:43:10;47,54107N;011,35463E;9,3;NaN;0,602;NaN;NaN;NaN;0,8;0,482;60;0;0,793;-0,039;-0,024;-2,828;0,023;0,009;0,031;21,336;21,143;23,518;Best;9,246;6,048;1,00;NaN;NaN;NaN;NaN
007;13:50:07;47,54110N;011,35462E;8,8;NaN;0,59;NaN;NaN;NaN;0,2;0,118;60;1;1,138;-0,073;-0,05;-3,648;0,01;0,006;0,01;22,226;21,52;23,451;Best;9,209;2,744;1,00;1,002;0,295;0,296;5,814
007;13:48:57;47,54110N;011,35462E;8,8;NaN;0,59;NaN;NaN;NaN;0,6;0,354;60;1;1,01;0,044;-0,078;2,468;0,022;0,009;0,022;21,899;21,198;23,62;Best;9,209;4,484;1,00;NaN;NaN;NaN;NaN
007;13:47:54;47,54110N;011,35462E;8,8;NaN;0,59;NaN;NaN;NaN;0,8;0,472;60;1;0,852;0,011;-0,085;0,714;0,024;0,006;0,027;22,256;21,854;23,952;Best;9,209;4,374;1,00;NaN;NaN;NaN;NaN
008;13:54:40;47,54109N;011,35463E;8,3;NaN;0,574;NaN;NaN;NaN;0,2;0,115;60;2;1,123;-0,092;-0,089;-4,674;0,014;0,006;0,017;22,14;21,691;23,921;Best;9,171;3,277;1,00;0,891;0,287;0,256;5,028
008;13:53:12;47,54109N;011,35463E;8,3;NaN;0,574;NaN;NaN;NaN;0,6;0,344;60;1;0,869;-0,078;-0,063;-5,146;0,023;0,01;0,019;22,06;21,714;23,461;Best;9,174;3,38;1,00;NaN;NaN;NaN;NaN
008;13:51:49;47,54109N;011,35463E;8,3;NaN;0,574;NaN;NaN;NaN;0,8;0,459;60;0;0,703;-0,05;-0,018;-4,093;0,02;0,008;0,022;22,299;22,247;24,152;Best;9,205;3,554;1,00;NaN;NaN;NaN;NaN
009;13:59:40;47,54111N;011,35458E;7,8;NaN;0,552;NaN;NaN;NaN;0,2;0,11;60;3;1,248;-0,141;-0,035;-6,436;0,012;0,006;0,012;22,664;22,369;23,904;Best;9,133;3,056;1,00;1,012;0,276;0,279;5,489
009;13:58:12;47,54111N;011,35458E;7,8;NaN;0,552;NaN;NaN;NaN;0,6;0,331;60;3;1,001;-0,13;-0,081;-7,377;0,02;0,007;0,025;22,855;21,678;23,804;Best;9,15;3,854;1,00;NaN;NaN;NaN;NaN
009;13:56:56;47,54111N;011,35458E;7,8;NaN;0,552;NaN;NaN;NaN;0,8;0,442;60;0;0,797;-0,065;-0,052;-4,679;0,027;0,009;0,021;22,186;21,35;23,464;Best;9,171;3,52;1,00;NaN;NaN;NaN;NaN
010;14:03:32;47,54107N;011,35465E;7,3;NaN;0,512;NaN;NaN;NaN;0,2;0,102;60;2;1,245;-0,026;-0,007;-1,187;0,019;0,006;0,016;23,187;22,922;24,664;Best;9,132;3,317;1,00;1,048;0,256;0,268;5,276
010;14:02:33;47,54107N;011,35465E;7,3;NaN;0,512;NaN;NaN;NaN;0,6;0,307;60;2;1,08;0,018;-0,139;0,954;0,016;0,008;0,024;22,687;21,765;23,842;Best;9,133;3,002;1,00;NaN;NaN;NaN;NaN
010;14:01:32;47,54107N;011,35465E;7,3;NaN;0,512;NaN;NaN;NaN;0,8;0,41;60;1;0,787;0,04;-0,048;2,873;0,028;0,008;0,031;22,511;22,197;24,096;Best;9,133;3,651;1,00;NaN;NaN;NaN;NaN
011;14:07:43;47,54107N;011,35464E;6,8;NaN;0,517;NaN;NaN;NaN;0,2;0,103;60;4;1,259;0,06;-0,055;2,722;0,014;0,006;0,014;22,575;22,073;23,97;Best;9,095;3,206;1,00;0,965;0,259;0,249;4,903
011;14:06:29;47,54107N;011,35464E;6,8;NaN;0,517;NaN;NaN;NaN;0,6;0,31;60;1;0,941;0,004;-0,108;0,256;0,028;0,008;0,027;21,834;21,989;23,829;Best;9,095;3,609;1,00;NaN;NaN;NaN;NaN
011;14:05:21;47,54107N;011,35464E;6,8;NaN;0,517;NaN;NaN;NaN;0,8;0,414;60;1;0,718;-0,057;-0,07;-4,581;0,029;0,011;0,029;21,91;21,939;23,857;Best;9,095;3,556;1,00;NaN;NaN;NaN;NaN
012;14:11:56;47,54107N;011,35465E;6,3;NaN;0,467;NaN;NaN;NaN;0,2;0,093;60;0;1,225;0,087;-0,081;4,045;0,017;0,007;0,018;21,926;21,317;23,328;Best;9,095;3,861;1,00;1,052;0,234;0,246;4,83
012;14:11:00;47,54107N;011,35465E;6,3;NaN;0,467;NaN;NaN;NaN;0,6;0,28;60;2;1,041;0,003;-0,043;0,17;0,022;0,007;0,027;22,474;21,767;24,119;Best;9,095;2,974;1,00;NaN;NaN;NaN;NaN
012;14:10:04;47,54107N;011,35465E;6,3;NaN;0,467;NaN;NaN;NaN;0,8;0,374;60;0;0,902;-0,027;-0,075;-1,728;0,022;0,008;0,034;21,978;21,398;24,07;Best;9,095;4,188;1,00;NaN;NaN;NaN;NaN
013;14:15:33;47,54111N;011,35464E;5,8;NaN;0,471;NaN;NaN;NaN;0,2;0,094;60;11;1,331;0,054;-0,034;2,33;0,018;0,009;0,025;22,366;21,128;16,678;Best;9,058;3,006;1,00;1,086;0,236;0,256;5,029
013;14:14:43;47,54111N;011,35464E;5,8;NaN;0,471;NaN;NaN;NaN;0,6;0,283;60;1;1,108;0,117;-0,064;6,014;0,025;0,009;0,032;21,838;21,399;23,21;Best;9,058;3,17;1,00;NaN;NaN;NaN;NaN
013;14:13:41;47,54111N;011,35464E;5,8;NaN;0,471;NaN;NaN;NaN;0,8;0,377;60;0;0,799;0,129;-0,075;9,143;0,025;0,011;0,032;21,994;21,586;23,232;Best;9,059;5,096;1,00;NaN;NaN;NaN;NaN
014;14:19:08;47,54109N;011,35461E;5,3;NaN;0,454;NaN;NaN;NaN;0,2;0,091;60;2;1,274;0,057;-0,054;2,584;0,017;0,006;0,016;21,375;20,908;23,288;Best;9,058;3,426;1,00;0,995;0,227;0,226;4,438
014;14:18:02;47,54109N;011,35461E;5,3;NaN;0,454;NaN;NaN;NaN;0,6;0,272;60;1;0,987;0,02;-0,043;1,144;0,025;0,009;0,026;20,963;20,997;23,51;Best;9,058;3,533;1,00;NaN;NaN;NaN;NaN
014;14:17:11;47,54109N;011,35461E;5,3;NaN;0,454;NaN;NaN;NaN;0,8;0,363;60;1;0,731;0,053;-0,034;4,187;0,028;0,007;0,029;21,376;20,686;22,761;Best;9,058;3,551;1,00;NaN;NaN;NaN;NaN
015;14:23:07;47,54108N;011,35466E;4,8;NaN;0,442;NaN;NaN;NaN;0,2;0,088;60;17;1,319;0,068;-0,329;2,959;0,014;0,006;0,098;21,611;21,007;9,255;Best;9,039;4,214;1,00;1,063;0,221;0,235;4,618
015;14:22:07;47,54108N;011,35466E;4,8;NaN;0,442;NaN;NaN;NaN;0,6;0,265;60;2;1,112;-0,144;-0,05;-7,37;0,02;0,008;0,02;21,204;20,785;22,628;Best;9,034;2,926;1,00;NaN;NaN;NaN;NaN
015;14:21:09;47,54108N;011,35466E;4,8;NaN;0,442;NaN;NaN;NaN;0,8;0,354;60;3;0,71;-0,04;-0,015;-3,193;0,026;0,011;0,028;20,66;20,85;22,305;Best;9,045;4,155;1,00;NaN;NaN;NaN;NaN
016;14:26:43;47,54106N;011,35462E;4,3;NaN;0,438;NaN;NaN;NaN;0,2;0,088;60;13;1,266;-0,062;0,169;-2,8;0,018;0,008;0,105;21,566;21,159;5,281;Best;9,02;3,382;1,00;1,048;0,219;0,229;4,51
016;14:25:42;47,54106N;011,35462E;4,3;NaN;0,438;NaN;NaN;NaN;0,6;0,263;60;1;1,075;-0,153;-0,035;-8,128;0,021;0,008;0,027;21,554;21,029;22,721;Best;9,02;3,248;1,00;NaN;NaN;NaN;NaN
016;14:24:34;47,54106N;011,35462E;4,3;NaN;0,438;NaN;NaN;NaN;0,8;0,35;60;0;0,774;-0,067;0,006;-4,938;0,028;0,012;0,032;20,862;20,721;22,426;Best;9,02;4,037;1,00;NaN;NaN;NaN;NaN
017;14:29:51;47,54107N;011,35461E;3,8;NaN;0,435;NaN;NaN;NaN;0,2;0,087;60;1;1,232;0,122;0,732;5,666;0,017;0,007;0,396;20,565;20,243;-0,211;Best;9,02;3,519;1,00;1,032;0,218;0,224;4,411
017;14:29:05;47,54107N;011,35461E;3,8;NaN;0,435;NaN;NaN;NaN;0,6;0,261;60;0;1,028;0,021;-0,003;1,195;0,024;0,009;0,028;20,393;19,957;22,293;Best;9,02;3,314;1,00;NaN;NaN;NaN;NaN
017;14:28:08;47,54107N;011,35461E;3,8;NaN;0,435;NaN;NaN;NaN;0,8;0,348;60;0;0,839;0,117;-0,016;7,97;0,022;0,008;0,031;20,451;19,962;22,076;Best;9,02;3,508;1,00;NaN;NaN;NaN;NaN
018;14:33:18;47,54106N;011,35462E;3,3;NaN;0,47;NaN;NaN;NaN;0,2;0,094;60;1;1,279;0,121;0,969;5,387;0,012;0,006;0,4;20,637;20,064;-0,676;Best;9,02;3,664;1,00;1,015;0,235;0,239;4,69
018;14:32:23;47,54106N;011,35462E;3,3;NaN;0,47;NaN;NaN;NaN;0,6;0,282;60;5;1,014;-0,224;-0,044;-12,444;0,018;0,008;0,018;20,303;19,941;21,773;Best;9,02;3,039;1,00;NaN;NaN;NaN;NaN
018;14:31:10;47,54106N;011,35462E;3,3;NaN;0,47;NaN;NaN;NaN;0,8;0,376;60;2;0,754;-0,066;-0,053;-4,966;0,024;0,011;0,035;21,442;20,867;23,109;Best;9,02;3,844;1,00;NaN;NaN;NaN;NaN
019;14:36:31;47,54106N;011,35464E;2,8;NaN;0,468;NaN;NaN;NaN;0,2;0,094;60;0;1,246;0,016;-0,103;0,739;0,011;0,008;0,334;20,268;19,719;1,4;Best;9,02;3,648;1,00;1,068;0,234;0,25;4,912
019;14:35:41;47,54106N;011,35464E;2,8;NaN;0,468;NaN;NaN;NaN;0,6;0,281;60;2;1,134;-0,002;-0,067;-0,083;0,018;0,008;0,022;20,077;19,326;21,817;Best;9,01;3,746;1,00;NaN;NaN;NaN;NaN
019;14:34:46;47,54106N;011,35464E;2,8;NaN;0,468;NaN;NaN;NaN;0,8;0,374;60;2;0,757;-0,106;-0,036;-7,956;0,026;0,008;0,027;19,928;19,603;21,484;Best;9,013;3,725;1,00;NaN;NaN;NaN;NaN
020;14:39:46;47,54107N;011,35463E;2,3;NaN;0,462;NaN;NaN;NaN;0,2;0,092;60;1;1,214;0,105;-0,054;4,961;0,011;0,006;0,011;19,554;19,388;21,02;Best;9,016;3,168;1,00;1,045;0,231;0,241;4,745
020;14:38:56;47,54107N;011,35463E;2,3;NaN;0,462;NaN;NaN;NaN;0,6;0,277;60;0;1,178;0,11;-0,105;5,322;0,015;0,006;0,018;19,903;19,888;20,86;Best;9,015;3,568;1,00;NaN;NaN;NaN;NaN
020;14:38:05;47,54107N;011,35463E;2,3;NaN;0,462;NaN;NaN;NaN;0,8;0,37;60;0;0,609;0,051;0,122;4,776;0,029;0,012;0,033;22,462;19,953;21,265;Best;9,018;3,925;1,00;NaN;NaN;NaN;NaN
021;14:43:02;47,54104N;011,35468E;1,8;NaN;0,518;NaN;NaN;NaN;0,2;0,104;60;2;1,037;-0,003;-0,056;-0,171;0,011;0,005;0,014;18,743;18,888;20,675;Best;8,983;2,984;1,00;0,912;0,259;0,236;4,645
021;14:42:04;47,54104N;011,35468E;1,8;NaN;0,518;NaN;NaN;NaN;0,6;0,311;60;1;0,941;-0,039;-0,045;-2,384;0,017;0,008;0,02;18,754;18,239;20,324;Best;8,982;3,265;1,00;NaN;NaN;NaN;NaN
021;14:41:08;47,54104N;011,35468E;1,8;NaN;0,518;NaN;NaN;NaN;0,8;0,414;60;1;0,73;-0,003;-0,018;-0,225;0,02;0,009;0,025;18,615;18,807;22,055;Best;8,983;4,23;1,00;NaN;NaN;NaN;NaN
022;14:46:13;47,54104N;011,35469E;1,3;NaN;0,575;NaN;NaN;NaN;0,2;0,115;60;3;0,727;-0,047;-0,007;-3,721;0,012;0,007;0,014;18,341;17,814;20,264;Best;8,982;3,035;1,00;0,594;0,288;0,171;3,358
022;14:45:15;47,54104N;011,35469E;1,3;NaN;0,575;NaN;NaN;NaN;0,6;0,345;60;2;0,576;-0,005;0,03;-0,538;0,012;0,006;0,015;17,864;17,819;19,501;Best;8,982;3,101;1,00;NaN;NaN;NaN;NaN
022;14:44:25;47,54104N;011,35469E;1,3;NaN;0,575;NaN;NaN;NaN;0,8;0,46;60;3;0,498;-0,015;0,033;-1,736;0,012;0,006;0,011;17,874;17,033;19,032;Best;8,982;3,009;1,00;NaN;NaN;NaN;NaN
023;14:46:56;47,541;11,355;0,8;NaN;0;NaN;NaN;NaN;NaN;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Undefined;NaN;NaN;NaN;0,594;0;0;0
