Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
001;001;0,2/0,6/0,8;0,2;0,046;60;4;1,00;0,5;NaN;0,23;NaN;0,23;NaN;NaN;NaN;0,811;-0,145;0,021;-10,134;0,01;0,005;0,017;16,701;16,588;9,522;2,236;2,199;4,329;8,868;11,268;0,845
001;001;0,2/0,6/0,8;0,6;0,138;60;2;1,00;0,5;NaN;0,23;NaN;0,23;NaN;NaN;NaN;0,724;-0,025;0;-2,003;0,018;0,006;0,019;15,834;16,779;17,605;2,17;2,474;2,865;8,868;11,251;0,843
001;001;0,2/0,6/0,8;0,8;0,184;60;0;1,00;0,5;NaN;0,23;NaN;0,23;NaN;NaN;NaN;0,499;-0,03;-0,025;-3,435;0,022;0,008;0,023;16,744;17,546;19,163;2,98;3,607;2,98;8,868;11,228;0,66
002;002;0,2/0,6/0,8;0,2;0,057;60;3;1,00;1;NaN;0,286;NaN;0,286;NaN;NaN;NaN;1,13;0,07;-0,053;3,569;0,01;0,005;0,039;21,181;19,857;4,701;1,928;2,322;3,323;8,868;11,161;2,913
002;002;0,2/0,6/0,8;0,6;0,172;60;2;1,00;1;NaN;0,286;NaN;0,286;NaN;NaN;NaN;0,931;-0,006;-0,027;-0,365;0,018;0,007;0,018;19,552;19,095;20,653;1,907;1,9;1,975;8,868;11,188;1,848
002;002;0,2/0,6/0,8;0,8;0,229;60;2;1,00;1;NaN;0,286;NaN;0,286;NaN;NaN;NaN;0,696;-0,159;-0,033;-12,86;0,019;0,008;0,027;18,552;19,196;20,72;2,169;2,688;2,34;8,868;11,211;1,326
003;003;0,2/0,6/0,8;0,2;0,082;60;5;1,00;1,5;NaN;0,411;NaN;0,411;NaN;NaN;NaN;1,295;-0,27;-0,004;-11,785;0,008;0,005;0,032;23,869;23,525;7,735;2,197;2,024;5,175;8,868;11,106;2,745
003;003;0,2/0,6/0,8;0,6;0,247;60;1;1,00;1,5;NaN;0,411;NaN;0,411;NaN;NaN;NaN;1,094;-0,088;0,01;-4,619;0,018;0,009;0,027;22,142;21,423;23,44;2,134;2,118;2,089;8,869;11,139;1,175
003;003;0,2/0,6/0,8;0,8;0,329;60;1;1,00;1,5;NaN;0,411;NaN;0,411;NaN;NaN;NaN;0,826;-0,113;-0,028;-7,788;0,023;0,009;0,024;22,952;22,894;24,524;2,57;2,1;2,398;8,879;11,123;5,264
004;004;0,2/0,6/0,8;0,2;0,095;60;5;1,00;2;NaN;0,475;NaN;0,475;NaN;NaN;NaN;1,394;-0,157;-0,005;-6,43;0,01;0,007;0,018;24,229;24,146;15,883;2,146;2,179;8,789;8,906;11,018;3,543
004;004;0,2/0,6/0,8;0,6;0,285;60;4;1,00;2;NaN;0,475;NaN;0,475;NaN;NaN;NaN;1,21;0,015;-0,1;0,712;0,014;0,008;0,02;23,656;22,848;25,428;2,232;2,132;2,057;8,908;11,033;3,205
004;004;0,2/0,6/0,8;0,8;0,38;60;2;1,00;2;NaN;0,475;NaN;0,475;NaN;NaN;NaN;0,836;0,301;-0,16;19,792;0,022;0,012;0,029;28,287;27,396;29,429;3,062;2,876;3,041;8,959;11,026;4,468
005;005;0,2/0,6/0,8;0,2;0,101;60;2;1,00;2,5;NaN;0,505;NaN;0,505;NaN;NaN;NaN;1,424;-0,136;-0,048;-5,441;0,012;0,005;0,015;24,39;24,117;26,229;1,914;1,988;2,002;8,944;10,97;3,574
