Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
005;005;0,2/0,6/0,8;0,6;0,303;60;1;1,00;2,5;NaN;0,505;NaN;0,505;NaN;NaN;NaN;1,08;-0,482;-0,05;-24,041;0,021;0,014;0,025;24,606;23,614;25,879;1,934;1,91;1,781;8,944;10,965;4,666
005;005;0,2/0,6/0,8;0,8;0,404;60;0;1,00;2,5;NaN;0,505;NaN;0,505;NaN;NaN;NaN;0,728;-0,247;-0,089;-18,783;0,025;0,011;0,034;24,488;24,283;26,274;2,466;2,235;2,328;8,944;10,981;4,813
006;006;0,2/0,6/0,8;0,2;0,104;60;5;1,00;3;NaN;0,518;NaN;0,518;NaN;NaN;NaN;1,519;-0,07;-0,357;-2,643;0,008;0,008;0,226;24,024;23,339;3,349;1,829;2,186;5,576;8,944;10,915;3,86
006;006;0,2/0,6/0,8;0,6;0,311;60;2;1,00;3;NaN;0,518;NaN;0,518;NaN;NaN;NaN;1,286;-0,309;-0,027;-13,508;0,019;0,012;0,024;24,523;24,157;25,927;2,022;1,766;1,978;8,959;10,932;2,622
006;006;0,2/0,6/0,8;0,8;0,414;60;1;1,00;3;NaN;0,518;NaN;0,518;NaN;NaN;NaN;0,875;-0,374;0,007;-23,144;0,029;0,013;0,038;24,245;24,201;25,681;1,946;2,056;1,707;8,951;10,931;5,681
007;007;0,2/0,6/0,8;0,2;0,097;60;16;1,00;3,5;NaN;0,486;NaN;0,486;NaN;NaN;NaN;1,578;0,155;0,058;5,607;0,013;0,009;0,032;24,338;24,176;7,081;2,141;2,27;6,911;8,951;10,871;4,338
007;007;0,2/0,6/0,8;0,6;0,292;60;4;1,00;3,5;NaN;0,486;NaN;0,486;NaN;NaN;NaN;1,332;0,104;-0,052;4,476;0,021;0,01;0,034;25,116;24,474;26,456;2,045;2,046;1,783;8,982;10,878;3,797
007;007;0,2/0,6/0,8;0,8;0,389;60;0;1,00;3,5;NaN;0,486;NaN;0,486;NaN;NaN;NaN;0,975;-0,085;-0,047;-4,983;0,033;0,012;0,038;24,942;24,5;26,023;2,308;2,109;2,071;8,982;10,885;5,952
008;008;0,2/0,6/0,8;0,2;0,103;60;5;1,00;4;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,555;0,1;-0,703;3,676;0,018;0,009;0,224;26,448;25,771;4,36;2,12;2,312;3,068;9,02;10,838;2,54
008;008;0,2/0,6/0,8;0,6;0,308;60;4;1,00;4;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,399;-0,204;0,002;-8,29;0,026;0,011;0,03;26,033;25,3;27,592;1,977;1,972;1,961;9,02;10,855;2,402
008;008;0,2/0,6/0,8;0,8;0,41;60;0;1,00;4;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,047;-0,079;-0,077;-4,297;0,034;0,013;0,042;25,746;25,52;27,403;2,122;2,037;2,054;9,02;10,85;4,625
009;009;0,2/0,6/0,8;0,2;0,099;60;1;1,00;4,5;NaN;0,494;NaN;0,494;NaN;NaN;NaN;1,577;-0,035;0,171;-1,274;0,019;0,008;0,384;28,313;27,427;-0,236;1,412;1,823;0,251;9,058;10,794;3,328
009;009;0,2/0,6/0,8;0,6;0,296;60;0;1,00;4,5;NaN;0,494;NaN;0,494;NaN;NaN;NaN;1,338;-0,39;0,005;-16,268;0,022;0,012;0,029;27,197;26,769;28,601;1,935;1,745;1,799;9,058;10,766;6,836
009;009;0,2/0,6/0,8;0,8;0,395;60;0;1,00;4,5;NaN;0,494;NaN;0,494;NaN;NaN;NaN;0,958;0,028;-0,033;1,67;0,036;0,011;0,044;26,849;26,209;29,046;1,835;1,984;1,77;9,058;10,803;5,651
010;010;0,2/0,6/0,8;0,2;0,103;60;6;1,00;5;NaN;0,515;NaN;0,515;NaN;NaN;NaN;1,7;-0,183;-1,127;-6,154;0,013;0,016;0,271;28,681;28,197;3,439;2,018;2,008;2,056;9,095;10,735;4,499
010;010;0,2/0,6/0,8;0,6;0,309;60;0;1,00;5;NaN;0,515;NaN;0,515;NaN;NaN;NaN;1,186;0,07;-0,053;3,386;0,033;0,013;0,047;27,432;27,177;28,816;1,874;1,914;1,671;9,095;10,777;3,705
010;010;0,2/0,6/0,8;0,8;0,412;60;0;1,00;5;NaN;0,515;NaN;0,515;NaN;NaN;NaN;0,958;-0,166;-0,102;-9,823;0,037;0,016;0,058;27,681;27,224;29,47;1,764;1,806;1,79;9,095;10,751;7,986
011;011;0,2/0,6/0,8;0,2;0,103;60;0;1,00;5,5;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,614;0,153;0,221;5,42;0,022;0,014;0,348;28,512;28,265;0,139;1,894;1,668;0,97;9,133;10,724;3,457
011;011;0,2/0,6/0,8;0,6;0,308;60;1;1,00;5,5;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,233;0,092;-0,077;4,277;0,036;0,013;0,043;28,728;27,718;29,975;1,781;1,782;1,781;9,133;10,712;3,9
011;011;0,2/0,6/0,8;0,8;0,41;60;2;1,00;5,5;NaN;0,513;NaN;0,513;NaN;NaN;NaN;1,054;-0,157;0,005;-8,473;0,037;0,015;0,043;28,394;27,882;29,711;1,903;1,975;1,894;9,133;10,694;7,567
012;012;0,2/0,6/0,8;0,2;0,094;60;8;1,00;6;NaN;0,472;NaN;0,472;NaN;NaN;NaN;1,674;0,161;0,268;5,481;0,028;0,018;0,212;27,734;28,399;3,916;2,85;1,558;6,473;9,171;10,681;4,1
012;012;0,2/0,6/0,8;0,6;0,283;60;0;1,00;6;NaN;0,472;NaN;0,472;NaN;NaN;NaN;1,219;-0,139;-0,019;-6,516;0,038;0,017;0,055;28,262;27,898;29,525;2,001;1,69;1,506;9,171;10,708;3,409
012;012;0,2/0,6/0,8;0,8;0,378;60;0;1,00;6;NaN;0,472;NaN;0,472;NaN;NaN;NaN;0,971;0,005;-0,07;0,276;0,042;0,017;0,047;28,497;27,388;29,565;2,055;2,016;1,8;9,171;10,686;5,798
013;013;0,2/0,6/0,8;0,2;0,096;60;24;1,00;6,5;NaN;0,479;NaN;0,479;NaN;NaN;NaN;1,824;0,258;0,168;8,043;0,027;0,012;0,172;26,519;29,476;4,371;5,38;1,658;5,731;9,209;10,64;3,39
013;013;0,2/0,6/0,8;0,6;0,287;60;2;1,00;6,5;NaN;0,479;NaN;0,479;NaN;NaN;NaN;1,345;-0,006;-0,018;-0,245;0,05;0,017;0,047;28,265;28,114;30,389;1,768;1,903;1,688;9,209;10,673;3,062
013;013;0,2/0,6/0,8;0,8;0,383;60;1;1,00;6,5;NaN;0,479;NaN;0,479;NaN;NaN;NaN;0,866;0,06;-0,032;3,991;0,043;0,019;0,051;28,303;27,949;29,716;1,72;2,085;1,929;9,206;10,652;5,987
014;014;0,2/0,6/0,8;0,2;0,086;60;9;1,00;7;NaN;0,431;NaN;0,431;NaN;NaN;NaN;1,739;0,007;0,236;0,223;0,026;0,036;0,12;26,734;27,936;4,333;3,473;1,639;6,56;9,227;10,597;6,149
014;014;0,2/0,6/0,8;0,6;0,259;60;2;1,00;7;NaN;0,431;NaN;0,431;NaN;NaN;NaN;1,426;-0,02;-0,016;-0,806;0,036;0,014;0,04;27,756;27,36;29,25;1,784;1,643;1,831;9,209;10,637;3,366
014;014;0,2/0,6/0,8;0,8;0,345;60;2;1,00;7;NaN;0,431;NaN;0,431;NaN;NaN;NaN;1,246;0,076;0,011;3,474;0,038;0,013;0,046;27,525;26,962;29,18;1,908;1,782;1,623;9,209;10,626;3,918
015;015;0,2/0,6/0,8;0,2;0,079;60;10;1,00;7,5;NaN;0,393;NaN;0,393;NaN;NaN;NaN;1,654;0,157;0,027;5,424;0,026;0,012;0,114;25,643;27,194;4,518;3,946;2,376;4,434;9,246;10,574;5,382
015;015;0,2/0,6/0,8;0,6;0,236;60;4;1,00;7,5;NaN;0,393;NaN;0,393;NaN;NaN;NaN;1,323;-0,009;0,093;-0,407;0,035;0,028;0,049;27,783;26,82;28,939;1,559;1,633;1,451;9,246;10,597;1,93
015;015;0,2/0,6/0,8;0,8;0,314;60;0;1,00;7,5;NaN;0,393;NaN;0,393;NaN;NaN;NaN;1,32;0,209;0,021;8,978;0,04;0,018;0,049;27,093;26,404;28,968;1,883;1,711;1,506;9,241;10,603;4,469
016;016;0,2/0,6/0,8;0,2;0,078;60;16;1,00;8;NaN;0,391;NaN;0,391;NaN;NaN;NaN;1,654;-0,088;-0,002;-3,054;0,028;0,011;0,084;27,14;26,681;6,473;1,85;1,84;7,412;9,249;10,54;4,799
016;016;0,2/0,6/0,8;0,6;0,235;60;1;1,00;8;NaN;0,391;NaN;0,391;NaN;NaN;NaN;1,299;0,346;-0,08;14,907;0,031;0,019;0,044;26,398;25,626;28,314;1,67;1,62;1,485;9,246;10,553;3,835
016;016;0,2/0,6/0,8;0,8;0,313;60;0;1,00;8;NaN;0,391;NaN;0,391;NaN;NaN;NaN;1,089;-0,114;0,02;-5,974;0,043;0,015;0,047;26,269;25,777;28,097;1,601;1,708;1,668;9,246;10,58;3,792
017;017;0,2/0,6/0,8;0,2;0,08;60;13;1,00;8,5;NaN;0,4;NaN;0,4;NaN;NaN;NaN;1,345;0,186;-0,109;7,889;0,026;0,012;0,1;25,864;25,462;11,52;1,535;1,66;11,762;9,282;10,532;3,303
017;017;0,2/0,6/0,8;0,6;0,24;60;0;1,00;8,5;NaN;0,4;NaN;0,4;NaN;NaN;NaN;1,108;0,048;0,052;2,504;0,038;0,013;0,046;25,783;25,108;27,204;1,793;1,625;1,628;9,271;10,513;5,381
017;017;0,2/0,6/0,8;0,8;0,32;60;1;1,00;8,5;NaN;0,4;NaN;0,4;NaN;NaN;NaN;0,813;-0,108;0,049;-7,583;0,032;0,018;0,048;24,807;24,609;27,193;1,737;1,731;1,892;9,257;10,539;5,123
018;018;0,2/0,6/0,8;0,2;0,065;60;0;1,00;9;NaN;0,325;NaN;0,325;NaN;NaN;NaN;1,296;-0,362;-1,162;-15,613;0,187;0,052;0,38;24,289;2,904;8,464;3,782;6,225;5,221;9,284;10,504;4,827
018;018;0,2/0,6/0,8;0,6;0,195;60;1;1,00;9;NaN;0,325;NaN;0,325;NaN;NaN;NaN;1,273;-0,318;-0,016;-14,042;0,029;0,013;0,041;25,24;24,597;27,085;1,682;1,621;1,718;9,284;10,52;3,795
018;018;0,2/0,6/0,8;0,8;0,26;60;1;1,00;9;NaN;0,325;NaN;0,325;NaN;NaN;NaN;0,29;0,009;0,004;1,867;0,037;0,015;0,055;24,733;24,753;27,121;2,199;2,014;1,831;9,281;10,5;5,327
019;019;0,2/0,6/0,8;0,2;0,07;60;1;1,00;9,5;NaN;0,351;NaN;0,351;NaN;NaN;NaN;1,205;0,012;-0,589;0,579;0,018;0,014;0,355;25,202;24,778;1,145;1,681;1,751;5,365;9,284;10,434;5,646
019;019;0,2/0,6/0,8;0,6;0,211;60;1;1,00;9,5;NaN;0,351;NaN;0,351;NaN;NaN;NaN;0,611;-0,039;0,097;-3,659;0,035;0,016;0,047;24,157;24,367;26,407;1,834;2,106;2,444;9,284;10,48;3,744
019;019;0,2/0,6/0,8;0,8;0,281;60;0;1,00;9,5;NaN;0,351;NaN;0,351;NaN;NaN;NaN;0,678;-0,265;0,031;-21,331;0,025;0,016;0,039;24,212;23,53;26,523;1,761;1,784;2,034;9,284;10,485;4,714
020;020;0,2/0,6/0,8;0,2;0,07;60;3;1,00;10;NaN;0,351;NaN;0,351;NaN;NaN;NaN;1,067;-0,07;-0,075;-3,765;0,021;0,008;0,024;24,58;24,588;26,298;1,522;1,834;2,054;9,284;10,462;4,794
020;020;0,2/0,6/0,8;0,6;0,211;60;2;1,00;10;NaN;0,351;NaN;0,351;NaN;NaN;NaN;0,836;-0,032;-0,043;-2,164;0,02;0,007;0,027;23,825;23,818;25,684;1,638;2,092;1,349;9,284;10,45;5,246
020;020;0,2/0,6/0,8;0,8;0,281;60;2;1,00;10;NaN;0,351;NaN;0,351;NaN;NaN;NaN;0,166;-0,068;0,06;-22,37;0,027;0,016;0,039;29,267;28,259;31;4,709;4,637;4,372;9,284;10,466;5,179
021;021;0,6;0,6;0,157;60;1;1,00;10,5;NaN;0,261;NaN;0,261;NaN;NaN;NaN;0,757;0,029;-0,041;2,191;0,021;0,008;0,03;24,731;24,109;26,185;2,023;1,815;1,921;9,284;10,492;4,116
022;022;0,6;0,6;0,141;60;2;1,00;11;NaN;0,235;NaN;0,235;NaN;NaN;NaN;0,594;-0,148;-0,041;-13,971;0,014;0,009;0,025;24,769;24,309;26,247;1,987;2,039;1,973;9,284;10,461;4,365
023;023;0,6;0,6;0,112;60;0;1,00;11,5;NaN;0,187;NaN;0,187;NaN;NaN;NaN;0,454;-0,009;-0,08;-1,149;0,015;0,007;0,02;26,057;26,246;28,271;2,355;2,588;2,63;9,284;10,458;3,299
024;024;0,6;0,6;0,1;60;2;1,00;12;NaN;0,166;NaN;0,166;NaN;NaN;NaN;0,233;-0,041;-0,056;-9,953;0,014;0,006;0,024;25,716;24,966;27,433;2,614;2,51;2,433;9,299;10,449;4,208
025;025;0,6;0,6;0,09;60;3;1,00;12,5;NaN;0,15;NaN;0,15;NaN;NaN;NaN;0,344;0,015;-0,003;2,532;0,007;0,003;0,009;24,632;24;26,783;2,185;2,891;2,535;9,32;10,453;3,952
026;026;0,6;0,6;0,071;60;7;1,00;13;NaN;0,118;NaN;0,118;NaN;NaN;NaN;0,017;0,004;0,016;11,864;0,005;0,001;0,005;33,855;30,243;37,163;4,923;3,519;3,903;9,322;10,44;3,942
