Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
005;005;0,2/0,6/0,8;0,2;0,119;60;4;1,00;9,8;NaN;0,594;NaN;0,594;NaN;NaN;NaN;1,149;0,189;-0,022;9,317;0,011;0,007;0,013;22,128;21,611;23,466;1,579;1,72;1,524;9,246;10,435;2,696
005;005;0,2/0,6/0,8;0,6;0,356;60;0;1,00;9,8;NaN;0,594;NaN;0,594;NaN;NaN;NaN;1,018;-0,046;-0,126;-2,598;0,022;0,009;0,025;22,052;21,079;23,573;1,666;1,49;1,657;9,246;10,414;7,9
005;005;0,2/0,6/0,8;0,8;0,475;60;1;1,00;9,8;NaN;0,594;NaN;0,594;NaN;NaN;NaN;0,761;-0,003;0,001;-0,219;0,023;0,011;0,034;21,962;21,512;23,464;1,815;1,963;1,706;9,246;10,447;3,294
006;006;0,2/0,6/0,8;0,2;0,12;60;2;1,00;9,3;NaN;0,602;NaN;0,602;NaN;NaN;NaN;1,122;-0,038;-0,041;-1,942;0,014;0,006;0,015;21,674;21,31;23,711;1,574;1,446;1,73;9,246;10,417;2,721
006;006;0,2/0,6/0,8;0,6;0,361;60;3;1,00;9,3;NaN;0,602;NaN;0,602;NaN;NaN;NaN;0,916;-0,069;-0,037;-4,295;0,016;0,008;0,024;21,987;21,685;23,664;1,603;1,456;1,626;9,246;10,372;8,889
006;006;0,2/0,6/0,8;0,8;0,482;60;0;1,00;9,3;NaN;0,602;NaN;0,602;NaN;NaN;NaN;0,793;-0,039;-0,024;-2,828;0,023;0,009;0,031;21,336;21,143;23,518;1,758;1,92;1,724;9,246;10,404;6,048
007;007;0,2/0,6/0,8;0,2;0,118;60;1;1,00;8,8;NaN;0,59;NaN;0,59;NaN;NaN;NaN;1,138;-0,073;-0,05;-3,648;0,01;0,006;0,01;22,226;21,52;23,451;1,555;1,836;1,662;9,209;10,364;2,744
007;007;0,2/0,6/0,8;0,6;0,354;60;1;1,00;8,8;NaN;0,59;NaN;0,59;NaN;NaN;NaN;1,01;0,044;-0,078;2,468;0,022;0,009;0,022;21,899;21,198;23,62;1,537;1,501;1,696;9,209;10,359;4,484
007;007;0,2/0,6/0,8;0,8;0,472;60;1;1,00;8,8;NaN;0,59;NaN;0,59;NaN;NaN;NaN;0,852;0,011;-0,085;0,714;0,024;0,006;0,027;22,256;21,854;23,952;1,778;1,703;1,864;9,209;10,375;4,374
008;008;0,2/0,6/0,8;0,2;0,115;60;2;1,00;8,3;NaN;0,574;NaN;0,574;NaN;NaN;NaN;1,123;-0,092;-0,089;-4,674;0,014;0,006;0,017;22,14;21,691;23,921;2,111;1,692;1,784;9,171;10,361;3,277
008;008;0,2/0,6/0,8;0,6;0,344;60;1;1,00;8,3;NaN;0,574;NaN;0,574;NaN;NaN;NaN;0,869;-0,078;-0,063;-5,146;0,023;0,01;0,019;22,06;21,714;23,461;1,541;1,62;1,742;9,174;10,374;3,38
008;008;0,2/0,6/0,8;0,8;0,459;60;0;1,00;8,3;NaN;0,574;NaN;0,574;NaN;NaN;NaN;0,703;-0,05;-0,018;-4,093;0,02;0,008;0,022;22,299;22,247;24,152;1,888;1,881;2,118;9,205;10,374;3,554
009;009;0,2/0,6/0,8;0,2;0,11;60;3;1,00;7,8;NaN;0,552;NaN;0,552;NaN;NaN;NaN;1,248;-0,141;-0,035;-6,436;0,012;0,006;0,012;22,664;22,369;23,904;1,246;1,78;1,732;9,133;10,318;3,056
009;009;0,2/0,6/0,8;0,6;0,331;60;3;1,00;7,8;NaN;0,552;NaN;0,552;NaN;NaN;NaN;1,001;-0,13;-0,081;-7,377;0,02;0,007;0,025;22,855;21,678;23,804;2,04;1,765;2,016;9,15;10,317;3,854
009;009;0,2/0,6/0,8;0,8;0,442;60;0;1,00;7,8;NaN;0,552;NaN;0,552;NaN;NaN;NaN;0,797;-0,065;-0,052;-4,679;0,027;0,009;0,021;22,186;21,35;23,464;1,916;1,943;2,052;9,171;10,345;3,52
010;010;0,2/0,6/0,8;0,2;0,102;60;2;1,00;7,3;NaN;0,512;NaN;0,512;NaN;NaN;NaN;1,245;-0,026;-0,007;-1,187;0,019;0,006;0,016;23,187;22,922;24,664;1,403;1,762;1,513;9,132;10,319;3,317
010;010;0,2/0,6/0,8;0,6;0,307;60;2;1,00;7,3;NaN;0,512;NaN;0,512;NaN;NaN;NaN;1,08;0,018;-0,139;0,954;0,016;0,008;0,024;22,687;21,765;23,842;1,736;1,612;1,521;9,133;10,306;3,002
010;010;0,2/0,6/0,8;0,8;0,41;60;1;1,00;7,3;NaN;0,512;NaN;0,512;NaN;NaN;NaN;0,787;0,04;-0,048;2,873;0,028;0,008;0,031;22,511;22,197;24,096;2,309;2,035;2,164;9,133;10,318;3,651
011;011;0,2/0,6/0,8;0,2;0,103;60;4;1,00;6,8;NaN;0,517;NaN;0,517;NaN;NaN;NaN;1,259;0,06;-0,055;2,722;0,014;0,006;0,014;22,575;22,073;23,97;1,921;1,838;1,612;9,095;10,273;3,206
011;011;0,2/0,6/0,8;0,6;0,31;60;1;1,00;6,8;NaN;0,517;NaN;0,517;NaN;NaN;NaN;0,941;0,004;-0,108;0,256;0,028;0,008;0,027;21,834;21,989;23,829;1,55;1,64;1,769;9,095;10,27;3,609
011;011;0,2/0,6/0,8;0,8;0,414;60;1;1,00;6,8;NaN;0,517;NaN;0,517;NaN;NaN;NaN;0,718;-0,057;-0,07;-4,581;0,029;0,011;0,029;21,91;21,939;23,857;2,058;2,27;2,089;9,095;10,297;3,556
012;012;0,2/0,6/0,8;0,2;0,093;60;0;1,00;6,3;NaN;0,467;NaN;0,467;NaN;NaN;NaN;1,225;0,087;-0,081;4,045;0,017;0,007;0,018;21,926;21,317;23,328;1,829;1,952;1,911;9,095;10,258;3,861
012;012;0,2/0,6/0,8;0,6;0,28;60;2;1,00;6,3;NaN;0,467;NaN;0,467;NaN;NaN;NaN;1,041;0,003;-0,043;0,17;0,022;0,007;0,027;22,474;21,767;24,119;1,757;2,082;1,916;9,095;10,265;2,974
012;012;0,2/0,6/0,8;0,8;0,374;60;0;1,00;6,3;NaN;0,467;NaN;0,467;NaN;NaN;NaN;0,902;-0,027;-0,075;-1,728;0,022;0,008;0,034;21,978;21,398;24,07;1,939;1,718;1,921;9,095;10,26;4,188
013;013;0,2/0,6/0,8;0,2;0,094;60;11;1,00;5,8;NaN;0,471;NaN;0,471;NaN;NaN;NaN;1,331;0,054;-0,034;2,33;0,018;0,009;0,025;22,366;21,128;16,678;2,188;1,459;10,056;9,058;10,256;3,006
013;013;0,2/0,6/0,8;0,6;0,283;60;1;1,00;5,8;NaN;0,471;NaN;0,471;NaN;NaN;NaN;1,108;0,117;-0,064;6,014;0,025;0,009;0,032;21,838;21,399;23,21;2,021;2,079;1,827;9,058;10,243;3,17
013;013;0,2/0,6/0,8;0,8;0,377;60;0;1,00;5,8;NaN;0,471;NaN;0,471;NaN;NaN;NaN;0,799;0,129;-0,075;9,143;0,025;0,011;0,032;21,994;21,586;23,232;1,901;1,776;2,004;9,059;10,233;5,096
014;014;0,2/0,6/0,8;0,2;0,091;60;2;1,00;5,3;NaN;0,454;NaN;0,454;NaN;NaN;NaN;1,274;0,057;-0,054;2,584;0,017;0,006;0,016;21,375;20,908;23,288;1,484;1,779;1,768;9,058;10,242;3,426
014;014;0,2/0,6/0,8;0,6;0,272;60;1;1,00;5,3;NaN;0,454;NaN;0,454;NaN;NaN;NaN;0,987;0,02;-0,043;1,144;0,025;0,009;0,026;20,963;20,997;23,51;1,59;2,013;1,896;9,058;10,259;3,533
014;014;0,2/0,6/0,8;0,8;0,363;60;1;1,00;5,3;NaN;0,454;NaN;0,454;NaN;NaN;NaN;0,731;0,053;-0,034;4,187;0,028;0,007;0,029;21,376;20,686;22,761;2,237;2,094;2,333;9,058;10,278;3,551
015;015;0,2/0,6/0,8;0,2;0,088;60;17;1,00;4,8;NaN;0,442;NaN;0,442;NaN;NaN;NaN;1,319;0,068;-0,329;2,959;0,014;0,006;0,098;21,611;21,007;9,255;1,912;1,843;10,752;9,039;10,224;4,214
015;015;0,2/0,6/0,8;0,6;0,265;60;2;1,00;4,8;NaN;0,442;NaN;0,442;NaN;NaN;NaN;1,112;-0,144;-0,05;-7,37;0,02;0,008;0,02;21,204;20,785;22,628;1,827;2,137;2,025;9,034;10,215;2,926
015;015;0,2/0,6/0,8;0,8;0,354;60;3;1,00;4,8;NaN;0,442;NaN;0,442;NaN;NaN;NaN;0,71;-0,04;-0,015;-3,193;0,026;0,011;0,028;20,66;20,85;22,305;2,267;2,406;2,073;9,045;10,219;4,155
016;016;0,2/0,6/0,8;0,2;0,088;60;13;1,00;4,3;NaN;0,438;NaN;0,438;NaN;NaN;NaN;1,266;-0,062;0,169;-2,8;0,018;0,008;0,105;21,566;21,159;5,281;1,743;1,726;6,194;9,02;10,204;3,382
016;016;0,2/0,6/0,8;0,6;0,263;60;1;1,00;4,3;NaN;0,438;NaN;0,438;NaN;NaN;NaN;1,075;-0,153;-0,035;-8,128;0,021;0,008;0,027;21,554;21,029;22,721;2,033;2,107;1,973;9,02;10,214;3,248
016;016;0,2/0,6/0,8;0,8;0,35;60;0;1,00;4,3;NaN;0,438;NaN;0,438;NaN;NaN;NaN;0,774;-0,067;0,006;-4,938;0,028;0,012;0,032;20,862;20,721;22,426;2,134;1,918;2,504;9,02;10,188;4,037
017;017;0,2/0,6/0,8;0,2;0,087;60;1;1,00;3,8;NaN;0,435;NaN;0,435;NaN;NaN;NaN;1,232;0,122;0,732;5,666;0,017;0,007;0,396;20,565;20,243;-0,211;1,765;1,73;2,191;9,02;10,17;3,519
017;017;0,2/0,6/0,8;0,6;0,261;60;0;1,00;3,8;NaN;0,435;NaN;0,435;NaN;NaN;NaN;1,028;0,021;-0,003;1,195;0,024;0,009;0,028;20,393;19,957;22,293;1,519;1,776;1,881;9,02;10,181;3,314
017;017;0,2/0,6/0,8;0,8;0,348;60;0;1,00;3,8;NaN;0,435;NaN;0,435;NaN;NaN;NaN;0,839;0,117;-0,016;7,97;0,022;0,008;0,031;20,451;19,962;22,076;1,721;1,902;1,816;9,02;10,189;3,508
018;018;0,2/0,6/0,8;0,2;0,094;60;1;1,00;3,3;NaN;0,47;NaN;0,47;NaN;NaN;NaN;1,279;0,121;0,969;5,387;0,012;0,006;0,4;20,637;20,064;-0,676;2,12;1,905;0,246;9,02;10,162;3,664
018;018;0,2/0,6/0,8;0,6;0,282;60;5;1,00;3,3;NaN;0,47;NaN;0,47;NaN;NaN;NaN;1,014;-0,224;-0,044;-12,444;0,018;0,008;0,018;20,303;19,941;21,773;2,056;1,88;1,935;9,02;10,183;3,039
018;018;0,2/0,6/0,8;0,8;0,376;60;2;1,00;3,3;NaN;0,47;NaN;0,47;NaN;NaN;NaN;0,754;-0,066;-0,053;-4,966;0,024;0,011;0,035;21,442;20,867;23,109;1,666;1,895;2,153;9,02;10,17;3,844
019;019;0,2/0,6/0,8;0,2;0,094;60;0;1,00;2,8;NaN;0,468;NaN;0,468;NaN;NaN;NaN;1,246;0,016;-0,103;0,739;0,011;0,008;0,334;20,268;19,719;1,4;1,9;1,696;3,657;9,02;10,146;3,648
019;019;0,2/0,6/0,8;0,6;0,281;60;2;1,00;2,8;NaN;0,468;NaN;0,468;NaN;NaN;NaN;1,134;-0,002;-0,067;-0,083;0,018;0,008;0,022;20,077;19,326;21,817;1,873;1,771;1,808;9,01;10,136;3,746
019;019;0,2/0,6/0,8;0,8;0,374;60;2;1,00;2,8;NaN;0,468;NaN;0,468;NaN;NaN;NaN;0,757;-0,106;-0,036;-7,956;0,026;0,008;0,027;19,928;19,603;21,484;2,023;1,859;2,152;9,013;10,134;3,725
020;020;0,2/0,6/0,8;0,2;0,092;60;1;1,00;2,3;NaN;0,462;NaN;0,462;NaN;NaN;NaN;1,214;0,105;-0,054;4,961;0,011;0,006;0,011;19,554;19,388;21,02;1,916;1,877;1,928;9,016;10,133;3,168
020;020;0,2/0,6/0,8;0,6;0,277;60;0;1,00;2,3;NaN;0,462;NaN;0,462;NaN;NaN;NaN;1,178;0,11;-0,105;5,322;0,015;0,006;0,018;19,903;19,888;20,86;1,667;2,071;1,859;9,015;10,148;3,568
020;020;0,2/0,6/0,8;0,8;0,37;60;0;1,00;2,3;NaN;0,462;NaN;0,462;NaN;NaN;NaN;0,609;0,051;0,122;4,776;0,029;0,012;0,033;22,462;19,953;21,265;2,58;2,115;1,679;9,018;10,127;3,925
021;021;0,2/0,6/0,8;0,2;0,104;60;2;1,00;1,8;NaN;0,518;NaN;0,518;NaN;NaN;NaN;1,037;-0,003;-0,056;-0,171;0,011;0,005;0,014;18,743;18,888;20,675;2,225;1,794;2,335;8,983;10,117;2,984
021;021;0,2/0,6/0,8;0,6;0,311;60;1;1,00;1,8;NaN;0,518;NaN;0,518;NaN;NaN;NaN;0,941;-0,039;-0,045;-2,384;0,017;0,008;0,02;18,754;18,239;20,324;1,837;1,734;2,121;8,982;10,136;3,265
021;021;0,2/0,6/0,8;0,8;0,414;60;1;1,00;1,8;NaN;0,518;NaN;0,518;NaN;NaN;NaN;0,73;-0,003;-0,018;-0,225;0,02;0,009;0,025;18,615;18,807;22,055;1,975;1,917;2,652;8,983;10,117;4,23
022;022;0,2/0,6/0,8;0,2;0,115;60;3;1,00;1,3;NaN;0,575;NaN;0,575;NaN;NaN;NaN;0,727;-0,047;-0,007;-3,721;0,012;0,007;0,014;18,341;17,814;20,264;1,683;2,086;2,345;8,982;10,135;3,035
022;022;0,2/0,6/0,8;0,6;0,345;60;2;1,00;1,3;NaN;0,575;NaN;0,575;NaN;NaN;NaN;0,576;-0,005;0,03;-0,538;0,012;0,006;0,015;17,864;17,819;19,501;2,17;1,936;1,985;8,982;10,15;3,101
022;022;0,2/0,6/0,8;0,8;0,46;60;3;1,00;1,3;NaN;0,575;NaN;0,575;NaN;NaN;NaN;0,498;-0,015;0,033;-1,736;0,012;0,006;0,011;17,874;17,033;19,032;2,304;2,004;2,149;8,982;10,127;3,009
