Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
001;001;0,6;0,6;0,169;60;0;1,00;11,8;NaN;0,281;NaN;0,281;NaN;NaN;NaN;0,361;-0,053;-0,056;-8,429;0,013;0,007;0,018;21,049;20,564;22,532;2,447;2,312;2,074;9,284;10,616;3,528
002;002;0,2/0,6/0,8;0,2;0,068;60;3;1,00;11,3;NaN;0,34;NaN;0,34;NaN;NaN;NaN;0,703;-0,078;-0,028;-6,325;0,016;0,009;0,015;20,956;20,762;22,616;1,489;1,837;1,928;9,284;10,55;3,632
002;002;0,2/0,6/0,8;0,6;0,204;60;2;1,00;11,3;NaN;0,34;NaN;0,34;NaN;NaN;NaN;0,568;0,038;-0,035;3,782;0,013;0,008;0,016;22,005;21,442;23,293;1,871;1,954;1,645;9,284;10,577;3,502
002;002;0,2/0,6/0,8;0,8;0,272;60;1;1,00;11,3;NaN;0,34;NaN;0,34;NaN;NaN;NaN;0,466;-0,091;-0,044;-11,041;0,018;0,008;0,02;21,952;21,997;23,598;2,895;2,789;2,803;9,284;10,606;2,926
003;003;0,2/0,6/0,8;0,2;0,099;60;2;1,00;10,8;NaN;0,494;NaN;0,494;NaN;NaN;NaN;0,932;-0,145;-0,022;-8,858;0,01;0,006;0,016;23,048;22,715;24,561;1,684;1,613;1,452;9,284;10,505;1,997
003;003;0,2/0,6/0,8;0,6;0,296;60;4;1,00;10,8;NaN;0,494;NaN;0,494;NaN;NaN;NaN;0,731;-0,176;-0,065;-13,553;0,015;0,011;0,024;21,669;21,459;23,438;1,77;1,604;1,75;9,284;10,519;1,733
003;003;0,2/0,6/0,8;0,8;0,395;60;4;1,00;10,8;NaN;0,494;NaN;0,494;NaN;NaN;NaN;0,456;-0,051;-0,04;-6,362;0,024;0,013;0,034;22,046;21,31;23,659;1,827;1,55;1,842;9,284;10,534;2,3
004;004;0,2/0,6/0,8;0,2;0,116;60;1;1,00;10,3;NaN;0,578;NaN;0,578;NaN;NaN;NaN;1,082;-0,13;-0,045;-6,856;0,013;0,007;0,015;23,249;22,997;24,261;1,859;1,821;1,486;9,251;10,477;3,085
004;004;0,2/0,6/0,8;0,6;0,347;60;3;1,00;10,3;NaN;0,578;NaN;0,578;NaN;NaN;NaN;0,975;-0,171;-0,115;-9,92;0,022;0,009;0,02;22,877;22,608;24,984;1,531;1,698;1,658;9,25;10,467;4,323
004;004;0,2/0,6/0,8;0,8;0,462;60;7;1,00;10,3;NaN;0,578;NaN;0,578;NaN;NaN;NaN;0,73;-0,009;-0,017;-0,72;0,025;0,012;0,027;22,718;22,441;24,524;1,576;2,25;2,08;9,275;10,462;4,729
