Desktop_Software_Build_Version,1.7,,,,,,,,,,,,,,,,,,,
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp,STD X,STD Y,STD Z,
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C),0.179045796683772,0.067317756793782,0.301985685541802,0.045886394700526
0,2022,3,30,13,49,40,-1.187,0.195,-0.719,43.475,40.817,43.947,290.874,-771.332,15787.96,10.185,,,,
0,2022,3,30,13,49,40,-0.965,0.076,-0.537,42.206,42.76,45.031,434.493,-512.743,15704.03,10.185,,,,
0,2022,3,30,13,49,41,-1.248,0.181,-0.651,42.095,42.871,44.15,419.135,-384.417,15682.86,10.185,,,,
0,2022,3,30,13,49,41,-1.07,0.124,-0.505,43.208,43.511,44.872,289.747,-609.716,15937.67,10.185,,,,
0,2022,3,30,13,49,42,-1.25,0.113,-0.633,42.718,43.997,44.94,69.474,-850.841,15997.22,10.185,,,,
0,2022,3,30,13,49,42,-1.188,0.081,-0.642,44.031,42.694,44.443,43.308,-544.394,15932.29,10.185,,,,
0,2022,3,30,13,49,43,-1.227,0.155,-0.418,42.852,42.915,45.979,227.421,-527.567,15856.71,10.185,,,,
0,2022,3,30,13,49,43,-0.867,0.065,-0.654,43.141,42.783,45.731,-89.09,-192.302,15845.88,10.185,,,,
0,2022,3,30,13,49,44,-0.96,0.075,-0.161,44.231,43.799,45.482,540.771,-592.289,15716.4,10.185,,,,
0,2022,3,30,13,49,44,-0.467,0.003,0.107,44.164,43.6,44.511,303.939,-499.24,15707.67,10.185,,,,
0,2022,3,30,13,49,45,-1.059,0.108,-0.665,43.986,43.865,44.714,2.002,-425.135,15758.67,10.185,,,,
0,2022,3,30,13,49,45,-1.058,0.125,-0.667,44.098,42.915,44.714,341.525,-830.609,15907.65,10.185,,,,
0,2022,3,30,13,49,46,-1.043,0.237,-0.456,42.318,43.224,45.55,260.488,-623.268,15940.74,10.185,,,,
0,2022,3,30,13,49,46,-1.041,0.208,-0.534,43.875,43.578,44.33,147.768,-554.881,15812.55,10.185,,,,
0,2022,3,30,13,49,47,-0.832,0.082,-0.573,43.096,42.297,43.292,436.347,-354.248,15801.22,10.185,,,,
0,2022,3,30,13,49,47,-1.1,0.112,-0.904,43.942,43.136,46.385,-107.239,-245.855,15908.83,10.185,,,,
0,2022,3,30,13,49,48,-1.129,0.213,-0.886,42.095,42.849,43.766,297.184,-494.577,15773.88,10.185,,,,
0,2022,3,30,13,49,48,-1.027,0.152,-0.441,45.588,44.019,44.15,72.65,-467.831,15902.94,10.185,,,,
0,2022,3,30,13,49,49,-0.862,0.075,-0.288,44.231,42.451,44.827,346.658,-470.383,15750.63,10.185,,,,
0,2022,3,30,13,49,49,-1.19,0.033,-0.222,42.429,42.275,44.692,-13.592,-461.993,15838.76,10.185,,,,
0,2022,3,30,13,49,50,-0.869,0.092,-0.386,45.277,44.086,43.721,98.849,-774.471,15861,10.185,,,,
0,2022,3,30,13,49,50,-1.191,0.121,-0.624,43.764,43.003,43.698,227.355,-427.106,15750.33,10.185,,,,
0,2022,3,30,13,49,51,-0.823,0.156,-0.678,43.764,42.716,43.969,45.354,-357.666,15864.95,10.185,,,,
0,2022,3,30,13,49,51,-0.972,0.007,-0.465,44.52,40.751,43.901,353.146,-648.262,15896.4,10.185,,,,
0,2022,3,30,13,49,52,-1.227,0.115,-0.165,42.407,42.142,43.224,213.104,-642.732,16096.5,10.185,,,,
0,2022,3,30,13,49,52,-1.357,0.076,-0.53,42.54,42.805,44.15,619.349,-419.33,15640.51,10.185,,,,
0,2022,3,30,13,49,53,-1.111,0.301,-1.037,42.251,42.805,43.653,439.031,-496.668,15890.63,10.185,,,,
0,2022,3,30,13,49,53,-0.78,-0.01,0.129,43.43,41.789,45.392,185.681,-665.817,15802.56,10.185,,,,
0,2022,3,30,13,49,54,-0.91,0.058,-0.182,43.052,42.341,43.676,294.455,-220.793,15739.27,10.185,,,,
0,2022,3,30,13,49,54,-1.057,0.078,-0.615,42.006,41.479,43.585,128.586,-750.892,15970.05,10.185,,,,
0,2022,3,30,13,49,55,-1.009,0.157,-0.451,43.497,43.578,44.195,109.196,-612.606,15810.12,10.185,,,,
0,2022,3,30,13,49,55,-0.965,0.087,-0.07,43.074,43.843,43.834,313.763,-266.54,15829.55,10.185,,,,
0,2022,3,30,13,49,56,-0.919,0.027,-0.38,43.808,45.234,43.088,-66.41,-496.748,15853.62,10.185,,,,
0,2022,3,30,13,49,56,-0.771,0.034,-0.316,43.897,43.158,45.189,338.351,-567.637,15732.93,10.185,,,,
1,2022,3,30,13,55,5,-1.153,-0.454,1.648,45.299,43.511,44.556,5.195,-142.046,15897.07,10.259,,,,
1,2022,3,30,13,55,5,-1.181,-0.501,1.855,42.607,43.578,44.127,238.121,-105.797,15676.59,10.259,,,,
1,2022,3,30,13,55,6,-1.116,-0.498,1.886,44.231,43.843,45.843,-102.589,-379.023,15984.08,10.259,,,,
1,2022,3,30,13,55,6,-1.244,-0.463,1.77,43.141,43.003,45.708,-153.756,-174.453,15851.51,10.259,,,,
1,2022,3,30,13,55,7,-1.201,-0.506,1.818,43.074,42.517,44.421,-19.364,185.088,15642.61,10.259,,,,
1,2022,3,30,13,55,7,-1.185,-0.479,1.863,42.34,43.6,43.495,-273.058,145.905,15867.69,10.259,,,,
1,2022,3,30,13,55,8,-1.16,-0.41,1.459,42.407,41.899,42.704,-274.429,674.903,15775.38,10.259,,,,
1,2022,3,30,13,55,8,-1.133,-0.457,1.64,44.231,42.473,44.963,-53.322,-584.263,15794.89,10.259,,,,
1,2022,3,30,13,55,9,-1.237,-0.458,1.719,43.675,42.385,43.472,54.98,-175.246,15813.7,10.259,,,,
1,2022,3,30,13,55,9,-1.171,-0.465,1.709,43.653,43.644,43.992,-232.08,519.189,15731.05,10.259,,,,
1,2022,3,30,13,55,10,-1.126,-0.504,1.841,42.985,43.114,39.52,-535.411,-168.135,16089.67,10.259,,,,
1,2022,3,30,13,55,10,-1.333,-0.513,2.012,42.629,42.871,42.411,42.345,227.065,15646.48,10.259,,,,
1,2022,3,30,13,55,11,-1.285,-0.478,1.743,44.431,44.726,44.082,-122.48,254.935,15785.29,10.259,,,,
1,2022,3,30,13,55,11,-1.148,-0.557,2.004,44.075,42.208,43.585,-408.768,191.456,15994.78,10.259,,,,
1,2022,3,30,13,55,12,-1.266,-0.49,1.859,43.23,42.517,43.788,-296.12,54.146,15770.44,10.259,,,,
1,2022,3,30,13,55,12,-1.253,-0.475,1.731,43.408,42.65,44.601,-117.618,-121.912,16032.63,10.259,,,,
1,2022,3,30,13,55,13,-1.167,-0.507,1.739,44.142,42.186,41.575,-687.607,193.92,16039.65,10.259,,,,
1,2022,3,30,13,55,13,-1.34,-0.475,1.866,43.719,42.23,43.766,-102.581,-321.119,15832.16,10.259,,,,
1,2022,3,30,13,55,14,-1.168,-0.503,2.001,43.386,43.821,43.179,94.021,-48.351,15669.73,10.259,,,,
1,2022,3,30,13,55,14,-1.117,-0.481,1.66,42.14,43.909,44.33,-348.663,246.873,15953.84,10.259,,,,
1,2022,3,30,13,55,15,-1.266,-0.337,1.407,44.098,46.118,44.534,-298.712,-395.822,16068.79,10.259,,,,
1,2022,3,30,13,55,15,-1.137,-0.535,1.868,43.808,43.114,43.337,78.747,559.778,15488.55,10.259,,,,
1,2022,3,30,13,55,16,-1.354,-0.48,1.822,42.874,43.401,42.727,-101.665,52.47,15807.21,10.259,,,,
1,2022,3,30,13,55,17,-1.337,-0.489,1.852,43.742,44.196,44.263,-220.829,368.408,15895.77,10.259,,,,
1,2022,3,30,13,55,17,-1.243,-0.435,1.866,43.052,42.849,44.872,175.418,-282.748,15705.99,10.259,,,,
1,2022,3,30,13,55,17,-1.199,-0.415,1.231,43.452,42.893,43.269,-146.264,12.108,15748.17,10.259,,,,
1,2022,3,30,13,55,18,-1.335,-0.44,1.698,44.053,44.108,44.195,-308.369,10.351,16031.82,10.259,,,,
1,2022,3,30,13,55,19,-1.172,-0.413,1.531,43.586,42.297,42.998,77.668,74.77,15791.25,10.259,,,,
1,2022,3,30,13,55,19,-1.034,-0.451,1.633,42.407,41.877,43.856,-286.721,763.697,15904.1,10.259,,,,
1,2022,3,30,13,55,20,-1.138,-0.496,1.844,43.03,43.268,44.872,-73.917,-226.143,15938.51,10.259,,,,
1,2022,3,30,13,55,20,-1.18,-0.514,1.901,42.384,42.893,43.337,157.929,280.161,15878.81,10.259,,,,
1,2022,3,30,13,55,21,-1.36,-0.486,1.933,42.562,43.776,43.021,233.257,547.722,15518.91,10.259,,,,
1,2022,3,30,13,55,21,-1.179,-0.486,1.881,42.852,42.009,40.943,339.818,-208.096,15464.76,10.259,,,,
1,2022,3,30,13,55,22,-1.189,-0.373,1.574,42.117,43.489,45.076,441.023,-357.014,15781.27,10.259,,,,
1,2022,3,30,13,55,22,-0.998,-0.512,1.736,43.141,41.855,44.263,-97.892,74.735,15893.69,10.259,,,,
1,2022,3,30,13,55,23,-1.25,-0.425,1.667,42.963,42.009,44.24,-192.525,-211.257,15996.15,10.259,,,,
1,2022,3,30,13,55,23,-1.03,-0.497,1.396,42.718,42.981,44.579,-136.769,-382.59,15979.54,10.259,,,,
1,2022,3,30,13,55,24,-1.134,-0.372,1.468,43.541,43.291,41.011,245.672,-93.598,15784.4,10.259,,,,
1,2022,3,30,13,55,24,-1.288,-0.521,1.955,42.607,43.6,43.201,-262.56,270.931,15803.17,10.259,,,,
1,2022,3,30,13,55,25,-1.198,-0.534,1.662,42.184,43.931,44.014,1.37,368.158,15669.93,10.259,,,,
1,2022,3,30,13,55,25,-1.022,-0.515,1.756,43.03,44.152,43.043,273.7,-84.479,15599.66,10.259,,,,
1,2022,3,30,13,55,26,-1.358,-0.421,1.56,43.319,42.827,43.043,-146.57,363.614,15705.89,10.259,,,,
1,2022,3,30,13,55,26,-1.364,-0.519,1.844,44.276,42.297,43.63,325.605,-390.31,15536.58,10.259,,,,
1,2022,3,30,13,55,27,-1.29,-0.502,1.899,43.141,41.303,43.201,367.718,22.875,15566.39,10.259,,,,
1,2022,3,30,13,55,27,-1.337,-0.492,1.879,42.829,43.357,43.224,40.72,-288.41,15525.37,10.259,,,,
1,2022,3,30,13,55,28,-1.123,-0.488,1.692,42.941,43.423,43.653,-581.411,492.042,16017.27,10.259,,,,
1,2022,3,30,13,55,28,-1.209,-0.542,1.937,42.429,42.385,44.308,233.137,28.028,15702.78,10.259,,,,
1,2022,3,30,13,55,29,-0.98,-0.459,1.681,42.295,42.915,44.85,-143.631,-63.226,15783.52,10.259,,,,
1,2022,3,30,13,55,29,-1.185,-0.398,1.602,42.206,43.843,46.634,-484.027,-68.085,16083.36,10.259,,,,
1,2022,3,30,13,55,30,-1.094,-0.328,1.357,43.831,43.799,41.869,163.904,-330.713,15892.58,10.259,,,,
1,2022,3,30,13,55,30,-1.045,-0.477,2.084,42.362,42.451,44.398,-49.406,62.633,15761.35,10.259,,,,
1,2022,3,30,13,55,31,-1.351,-0.438,1.482,42.496,40.463,42.659,-236.593,306.933,15510.79,10.259,,,,
1,2022,3,30,13,55,31,-1.236,-0.463,1.576,43.942,43.688,43.856,-210.679,-35.022,15861.26,10.259,,,,
1,2022,3,30,13,55,32,-1.288,-0.48,1.703,43.475,41.855,41.056,-150.113,-336.827,16054.44,10.259,,,,
1,2022,3,30,13,55,32,-1.372,-0.485,1.864,41.784,42.805,42.411,151.021,-173.309,15605.71,10.259,,,,
1,2022,3,30,13,55,33,-1.328,-0.512,1.842,42.073,42.76,42.84,-1021.361,711.117,16034.99,10.259,,,,
1,2022,3,30,13,55,33,-1.35,-0.532,1.905,41.939,42.363,43.834,-544.511,26.124,16097.63,10.259,,,,
1,2022,3,30,13,55,34,-1.254,-0.513,1.917,43.386,42.12,44.105,124.543,-5.696,15676.71,10.259,,,,
1,2022,3,30,13,55,34,-1.23,-0.444,1.823,41.717,42.694,42.704,-128.967,-212.28,15766.19,10.259,,,,
1,2022,3,30,13,55,35,-1.262,-0.425,1.56,41.65,42.606,44.263,-176.175,123.754,15670.14,10.259,,,,
1,2022,3,30,13,55,35,-1.2,-0.495,1.647,43.63,45.013,40.853,-102.123,0.186,15826.43,10.259,,,,
