Desktop_Software_Build_Version,2.0
#;Jahr;Monat;Tag;Stunde;Minute;Sekunde;VelX;VelY;VelZ;SNR1;SNR2;SNR3;AccX;AccY;AccZ;Temp
();();();();();();();(m/s);(m/s);(m/s);(dB);(dB);(dB);(cnts);(cnts);(cnts);(° C)
01;2025;09;30;13;22;55;0,296;-0,034;0,153;18,266;18,619;25,812;-810,749;470,459;15819,43;9,284
01;2025;09;30;13;22;56;0,436;-0,023;-0,08;24,785;23,147;22,877;-819,547;550,187;15818;9,284
01;2025;09;30;13;22;56;0,385;-0,083;-0,105;20,069;20,43;21,838;-840,325;571,801;15852,17;9,284
01;2025;09;30;13;22;57;0,348;-0,137;-0,036;16,82;19,061;20,009;-763,058;480,135;15819,3;9,284
01;2025;09;30;13;22;57;0,357;-0,112;-0,142;21,07;21,91;18,766;-779,144;523,065;15821,09;9,284
01;2025;09;30;13;22;58;0,392;-0,055;-0,18;21,159;17,007;24,819;-742,912;533,258;15840,37;9,284
01;2025;09;30;13;22;58;0,491;-0,059;0,19;19,557;19,856;21,115;-747,767;476,144;15821,96;9,284
01;2025;09;30;13;22;59;0,331;-0,114;-0,282;20,024;20,872;22,56;-795,587;494,752;15805,01;9,284
01;2025;09;30;13;22;59;0,356;-0,066;-0,236;20,58;18,288;22,448;-507,436;405,35;15869,15;9,284
01;2025;09;30;13;23;00;0,45;-0,002;-0,047;22,516;18,995;24,525;-761,204;427,497;15782,23;9,284
01;2025;09;30;13;23;00;0,458;0;0,122;19,824;25,312;19,986;-741,117;416,921;15823,02;9,284
01;2025;09;30;13;23;01;0,528;-0,037;0,005;19,601;19,127;21,86;-782,786;471,869;15843,43;9,284
01;2025;09;30;13;23;01;0,423;-0,039;-0,081;19,98;17,89;23,509;-781,252;452,551;15847,49;9,284
01;2025;09;30;13;23;02;0,409;-0,113;-0,103;18,444;16,344;24,661;-836,995;419,838;15838,31;9,284
01;2025;09;30;13;23;02;0,53;-0,036;-0,024;22,538;16,941;19,602;-761,742;352,659;15851,58;9,284
01;2025;09;30;13;23;03;0,332;-0,064;-0,002;21,448;24,053;29,539;-793,671;382,947;15817,01;9,284
01;2025;09;30;13;23;03;0,196;-0,084;-0,095;26,254;22,86;22,109;-845,833;403,245;15775,16;9,284
01;2025;09;30;13;23;04;0,254;-0,048;0,046;21,181;17,007;19,286;-843,458;375,77;15849,1;9,284
01;2025;09;30;13;23;04;0,338;-0,043;0,005;22,093;21,027;21,635;-807,836;362,64;15860,51;9,284
01;2025;09;30;13;23;05;0,163;-0,152;-0,404;18,823;19,348;20,754;-764,739;356,592;15853,51;9,284
01;2025;09;30;13;23;05;0,576;-0,15;-0,246;22,316;19,525;20,28;-774,491;390,393;15812,03;9,284
01;2025;09;30;13;23;06;0,407;-0,061;-0,17;22,027;23,633;22,154;-873,965;446,769;15849,8;9,284
01;2025;09;30;13;23;06;0,343;0,048;-0,006;24,251;23,832;22,831;-817,465;311,341;15824,84;9,284
01;2025;09;30;13;23;07;0,194;0,024;0,17;24,073;20,453;23,193;-830,092;394,14;15842,78;9,284
01;2025;09;30;13;23;07;0,305;-0,028;0,038;22,294;22,462;23,622;-870,499;453,955;15845,11;9,284
01;2025;09;30;13;23;08;0,35;-0,109;-0,009;21,404;17,029;24,164;-804,187;454,575;15813,72;9,284
01;2025;09;30;13;23;08;0,23;-0,121;0,11;21,737;18,354;21,341;-873,61;412,358;15827,56;9,284
01;2025;09;30;13;23;09;0,438;-0,025;-0,036;27,945;22,175;21,928;-901,734;439,721;15845,9;9,284
01;2025;09;30;13;23;09;0,476;-0,071;-0,411;21,404;20,497;23,351;-859,025;518,182;15832,54;9,284
01;2025;09;30;13;23;10;0,314;-0,06;-0,076;17,732;20,497;23,373;-867,545;320,794;15844,06;9,284
01;2025;09;30;13;23;10;0,304;-0,03;0,16;19,423;18,973;23,193;-906,728;509,078;15800,66;9,284
01;2025;09;30;13;23;11;0,377;-0,12;-0,203;21,493;18,531;21,838;-838,09;508,054;15848,74;9,284
01;2025;09;30;13;23;11;0,325;-0,062;-0,231;16,931;21,38;19,196;-897,209;367,919;15819,18;9,284
01;2025;09;30;13;23;12;0,44;0,026;0,037;21,448;20,541;19,467;-857,115;480,303;15789,21;9,284
01;2025;09;30;13;23;12;0,466;0,006;-0,065;18,311;21,645;25,587;-901,77;432,523;15859,18;9,284
01;2025;09;30;13;23;13;0,354;-0,035;-0,025;20,291;22,97;25,428;-973,252;424,851;15826,1;9,284
01;2025;09;30;13;23;13;0,421;-0,069;0,038;21,537;22,683;24,638;-967,615;484,321;15814,76;9,284
01;2025;09;30;13;23;14;0,455;-0,071;-0,089;17,176;23,236;20,483;-913,607;493,08;15830,94;9,284
01;2025;09;30;13;23;14;0,313;-0,018;-0,159;24,385;22,617;23,306;-966,131;441,7;15858,96;9,284
01;2025;09;30;13;23;15;0,306;0,005;0,032;20,87;16,852;23,17;-934,748;468,22;15825,36;9,284
01;2025;09;30;13;23;15;0,277;0,018;0,058;26,766;20,386;21,906;-919,713;422,502;15845,62;9,284
01;2025;09;30;13;23;16;0,103;0,028;0,238;20,291;21,756;23,712;-982,564;462,256;15809,43;9,284
01;2025;09;30;13;23;16;0,236;-0,169;-0,054;21,137;19,503;21,657;-969,666;347,084;15819,5;9,284
01;2025;09;30;13;23;17;0,142;-0,098;-0,215;21,849;19,613;22,764;-941,779;440,318;15845,86;9,284
