Desktop_Software_Build_Version,2.0
#;Jahr;Monat;Tag;Stunde;Minute;Sekunde;VelX;VelY;VelZ;SNR1;SNR2;SNR3;AccX;AccY;AccZ;Temp
();();();();();();();(m/s);(m/s);(m/s);(dB);(dB);(dB);(cnts);(cnts);(cnts);(° C)
01;2025;09;30;15;02;38;0,626;-0,127;-0,165;21,203;20,386;22,425;-811,516;-379,949;15786,88;9,435
01;2025;09;30;15;02;38;0,735;0,121;0,066;19,357;22,86;26,377;-846,398;-453,46;15821,88;9,435
01;2025;09;30;15;02;39;0,491;-0,023;-0,198;21,648;20,121;21,273;-762,975;-525,539;15864,96;9,435
01;2025;09;30;15;02;39;0,51;-0,05;0,272;22,338;20,408;24,954;-843,139;-261,08;15828,45;9,435
01;2025;09;30;15;02;40;0,693;-0,1;-0,071;19,646;19,68;21,589;-521,378;-369,777;15658,93;9,435
01;2025;09;30;15;02;40;0,686;-0,072;-0,124;24,051;18,575;23,17;-632,271;-623,891;15721,09;9,435
01;2025;09;30;15;02;41;1,146;0,14;-0,28;22,049;20,453;22,357;-1072,359;-378,272;16008,38;9,435
01;2025;09;30;15;02;41;0,366;0,23;0,163;22,983;24,848;23,848;-941,441;-311,619;15881,28;9,435
01;2025;09;30;15;02;42;0,46;0,108;0,072;20,046;19,746;20,167;-710,663;-452,203;15897,99;9,445
01;2025;09;30;15;02;42;0,976;0,309;-0,437;21,426;19,9;22,628;-722,768;-269,365;15800,7;9,439
01;2025;09;30;15;02;43;0,279;0,205;0,011;19,957;17,427;22,673;-416,06;-634,452;15746,04;9,435
01;2025;09;30;15;02;43;0,413;0,1;0,065;22,071;19,702;24,932;-999,929;-184,825;15922,97;9,439
01;2025;09;30;15;02;44;0,458;-0,067;-0,183;21,982;18,884;20,709;-835,998;-334,296;15829,48;9,435
01;2025;09;30;15;02;44;0,337;0,055;-0,088;19,646;19,304;20,957;-832,933;-266,76;15826,56;9,435
01;2025;09;30;15;02;45;0,628;-0,023;-0,115;22,583;21,049;21,386;-894,725;-224,713;15804,61;9,435
01;2025;09;30;15;02;45;0,666;0,03;-0,255;18,133;19,503;24,344;-756,491;-278,051;15828,83;9,435
01;2025;09;30;15;02;46;0,478;0,002;-0,718;20,135;19,017;21,68;-804,044;-267,718;15908,33;9,435
01;2025;09;30;15;02;46;0,272;-0,014;-0,267;20,358;21,049;24,999;-656,942;-377,322;15790,68;9,435
01;2025;09;30;15;02;47;0,328;-0,024;0,119;19,423;19,856;20,302;-735,334;-335,218;15836,44;9,435
01;2025;09;30;15;02;47;0,366;-0,011;0,124;21,982;22,087;22,086;-733,153;-315,679;15805,52;9,435
01;2025;09;30;15;02;48;0,666;-0,024;-0,015;20,002;20,121;25,519;-644,165;-521,904;15835,28;9,435
01;2025;09;30;15;02;48;0,798;0,007;-0,188;20,425;21,093;24,728;-650,943;-434,531;15825,71;9,435
01;2025;09;30;15;02;49;0,673;0,156;-0,313;20,491;22,175;27,122;-875,892;-437,251;16034,74;9,435
01;2025;09;30;15;02;49;0,654;0,023;-0,031;20,647;18,796;23,193;-833,575;-77,054;15803,17;9,435
01;2025;09;30;15;02;50;-0,073;-0,049;-0,402;24,162;17,935;23,328;-781,112;-529,646;15798,72;9,435
01;2025;09;30;15;02;50;0,421;-0,067;-0,12;20,936;20,121;22,335;-982,888;-214,241;15923,51;9,435
01;2025;09;30;15;02;51;0,342;-0,087;0,202;21,07;18,686;21,86;-474,658;-463,897;15804,67;9,435
01;2025;09;30;15;02;51;0,546;-0,088;-0,083;20,18;20,077;23,78;-742,356;-224,281;15785,88;9,435
01;2025;09;30;15;02;52;0,557;-0,04;-0,196;22,494;18,862;22,989;-761,782;-233,201;15836,88;9,435
01;2025;09;30;15;02;52;0,603;-0,037;-0,152;23,228;18,509;22,583;-659,107;-372,86;15820,6;9,435
01;2025;09;30;15;02;53;0,6;0,028;-0,058;20,781;21,027;22,877;-736,429;-303,773;15806,16;9,435
01;2025;09;30;15;02;53;0,349;0,045;-0,275;24,518;21,027;24,232;-668,859;-380,419;15864,74;9,435
01;2025;09;30;15;02;54;0,338;0,037;0,461;19,757;25,069;25,745;-652,92;-402,198;15766,84;9,435
01;2025;09;30;15;02;54;0,587;-0,124;-0,008;21,826;22,772;22,673;-655,135;-486,344;15846,64;9,435
01;2025;09;30;15;02;55;0,517;0,007;0,038;19,646;20,32;22,131;-743,352;-367,473;15839,3;9,435
01;2025;09;30;15;02;55;0,621;-0,061;-0,073;20,803;20,32;23,215;-816,127;-175,523;15858,96;9,435
01;2025;09;30;15;02;56;0,721;0,115;0,502;23,361;18,2;23,486;-777,842;-297,221;15870,02;9,445
01;2025;09;30;15;02;56;0,641;-0,115;0,007;18,511;20,806;21,702;-654,136;-400,555;15829,1;9,458
01;2025;09;30;15;02;57;0,619;0,137;-0,098;22,383;19,989;23,012;-896,327;-700,169;15698,79;9,462
01;2025;09;30;15;02;57;0,617;-0,1;-0,257;23,74;20,475;24,909;-753,986;-178,704;15895,07;9,472
01;2025;09;30;15;02;58;0,7;-0,017;0,048;21,381;20,696;24,119;-340,72;-629,687;15608,86;9,472
01;2025;09;30;15;02;58;0,639;0,02;-0,138;20,758;19,657;22,064;-783,751;-471,523;15920,27;9,472
01;2025;09;30;15;02;59;0,507;-0,135;-0,156;22,405;22,97;23,802;-703,536;-263,541;15816,9;9,472
01;2025;09;30;15;02;59;0,883;-0,012;-0,08;19,223;20,85;19,331;-841,896;-239,883;15892,09;9,472
01;2025;09;30;15;03;00;0,622;0,058;-0,468;22,093;21,204;26,038;-835,427;-220,061;15820,58;9,472
01;2025;09;30;15;03;00;0,648;-0,001;-0,243;21,693;22,109;24,39;-971,278;-259,962;15918,34;9,472
01;2025;09;30;15;03;01;0,688;0,034;0,027;20,625;22,462;24,435;-769,926;-523,128;15885,49;9,467
01;2025;09;30;15;03;01;0,622;-0,009;-0,023;22,383;21,932;23,328;-823,675;-417,183;15903,27;9,454
01;2025;09;30;15;03;02;0,573;0,011;-0,257;20,847;22,904;23,983;-788,666;-379,924;15871,48;9,435
01;2025;09;30;15;03;02;0,554;-0,1;-0,168;20,024;22,175;26,693;-662,761;-154,032;15752,69;9,435
01;2025;09;30;15;03;03;0,817;0,027;-0,378;22,827;21,579;24,977;-753,141;-545,285;15892,75;9,445
01;2025;09;30;15;03;03;0,502;0,129;-0,007;21,804;21,623;25,18;-798,295;-455,632;15829,96;9,444
01;2025;09;30;15;03;04;0,539;0,015;0,121;22,983;22,043;21,635;-616,625;-393,779;15782,72;9,456
01;2025;09;30;15;03;04;0,515;-0,131;0,053;21,782;21,932;21,386;-718,25;-341,168;15805,99;9,439
01;2025;09;30;15;03;05;0,448;-0,063;-0,248;21,693;18,995;18,676;-915,791;-342,239;15925,57;9,456
01;2025;09;30;15;03;05;0,588;-0,028;-0,109;21,426;21,181;23,238;-775,887;-352,729;15832,15;9,463
01;2025;09;30;15;03;06;0,78;-0,023;-0,08;18,378;21,358;24,096;-803,507;-413,03;15840,06;9,462
01;2025;09;30;15;03;06;0,778;-0,001;-0,01;19,98;22,705;24,819;-870,13;-404,948;15895,01;9,472
01;2025;09;30;15;03;07;0,873;-0,019;-0,137;21,248;20,541;22,673;-821,787;-609,556;15886,98;9,472
01;2025;09;30;15;03;07;0,732;0,086;0,157;21,315;22,816;23,486;-1005,414;-256,8;15938,25;9,472
02;2025;09;30;15;06;27;0,881;0,094;0,431;21,404;19,172;22,989;-780,928;-494,541;15858,68;9,359
02;2025;09;30;15;06;28;1,19;0,072;-0,574;20,981;20,696;23,08;-853,619;-590,489;15896,33;9,359
02;2025;09;30;15;06;28;1,371;0,025;-0,02;21,137;19,878;21,115;-684,681;-344,835;15838,94;9,359
02;2025;09;30;15;06;29;1,134;0,328;-0,106;18,934;19,834;22,809;-778,721;-328,925;15825,72;9,359
02;2025;09;30;15;06;29;1,176;0,359;-0,125;20,536;21,248;20,37;-693,495;-484,8;15832,29;9,359
02;2025;09;30;15;06;30;0,825;0,347;0,074;20,269;21,756;20,731;-884,287;-285,676;15764,85;9,355
02;2025;09;30;15;06;30;0,721;0,217;0,081;22,583;20,386;23,373;-794,995;-394,765;15821,45;9,343
02;2025;09;30;15;06;31;1,144;-0,049;0,007;22,227;19,172;24,796;-699,743;-526,604;15809,31;9,341
02;2025;09;30;15;06;31;1,062;-0,071;-0,103;23,139;20,453;26,083;-793,625;-367,603;15674,66;9,338
02;2025;09;30;15;06;32;1,013;-0,039;-0,293;22,894;21,093;23,78;-786,053;-347,869;15788,04;9,331
02;2025;09;30;15;06;32;0,865;0,131;0,115;19,824;22,286;22,877;-842,94;-462,516;15836,33;9,327
02;2025;09;30;15;06;33;1,155;0,082;-0,137;21,76;20,828;22,335;-806,161;-744,754;15795,11;9,322
02;2025;09;30;15;06;33;1,241;0,207;-0,394;21,07;22,153;25,699;-901,815;-283,07;15753,07;9,322
02;2025;09;30;15;06;34;1,334;0,224;0,192;20,046;22,153;23,102;-647,25;-482,673;15812,57;9,322
02;2025;09;30;15;06;34;1,048;-0,005;0,084;21,448;21,535;22,696;-863,279;-469,028;15767,85;9,322
02;2025;09;30;15;06;35;0,931;0,313;0,099;18,845;23,545;22,177;-900,683;-275,103;15828,65;9,322
02;2025;09;30;15;06;35;1,298;0,056;-0,476;22,383;21,734;24,954;-737,359;-538,524;15856,07;9,322
02;2025;09;30;15;06;36;1,178;0,127;-0,355;22,783;19,613;22,606;-941,673;-304,624;15825,14;9,322
02;2025;09;30;15;06;36;1,022;0,241;-0,062;24,785;22,816;25,428;-851,293;-485,962;15948,76;9,322
02;2025;09;30;15;06;37;1,035;0,151;-0,024;18,622;23,236;24,164;-915,912;-183,309;15843;9,322
02;2025;09;30;15;06;37;1,192;0,147;-0,511;22,071;23,81;24,096;-660,254;-519,161;15764,35;9,322
02;2025;09;30;15;06;38;0,806;0,016;0,236;20,914;23,213;23,419;-713,861;-466,571;15836,23;9,322
02;2025;09;30;15;06;38;1,252;0,106;-0,176;29,302;28,316;31,029;-814,862;-545,897;15851,56;9,322
02;2025;09;30;15;06;39;1,095;0,146;0,059;26,944;27,079;27,755;-762,178;-515,68;15871,07;9,322
02;2025;09;30;15;06;39;1,222;0,212;-0,963;28,256;27,476;26,264;-711,573;-163,696;15659,66;9,322
02;2025;09;30;15;06;40;1,029;-0,141;-0,014;27,255;22,573;26,354;-765,059;-376,217;15840,58;9,322
02;2025;09;30;15;06;40;1,163;-0,043;-0,029;27,455;27,057;30,239;-631,925;-413,63;15725,91;9,322
