Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
005;005;0,2/0,6/0,8;0,6;0,418;60;1;1,00;15;NaN;0,696;NaN;0,696;NaN;NaN;NaN;1,1;-0,051;-0,035;-2,644;0,034;0,02;0,047;20,799;20,4;22,794;1,313;1,393;1,454;9,246;10,008;4,015
005;005;0,2/0,6/0,8;0,8;0,557;60;1;1,00;15;NaN;0,696;NaN;0,696;NaN;NaN;NaN;0,806;-0,158;-0,118;-11,12;0,026;0,017;0,034;21,174;20,711;22,743;1,554;1,64;1,572;9,284;10,012;5,374
006;006;0,2/0,6/0,8;0,2;0,162;60;3;1,00;14,5;NaN;0,811;NaN;0,811;NaN;NaN;NaN;1,493;-0,006;0,027;-0,224;0,024;0,014;0,036;20,346;19,699;21,653;1,338;1,381;1,58;9,133;9,974;3,314
006;006;0,2/0,6/0,8;0,6;0,487;60;0;1,00;14,5;NaN;0,811;NaN;0,811;NaN;NaN;NaN;1,086;-0,401;0,024;-20,253;0,028;0,015;0,04;20,446;19,798;21,817;1,553;1,381;1,422;9,232;9,993;3,745
006;006;0,2/0,6/0,8;0,8;0,649;60;2;1,00;14,5;NaN;0,811;NaN;0,811;NaN;NaN;NaN;0,577;-0,274;-0,071;-25,439;0,032;0,014;0,04;20,226;19,942;22,813;1,765;1,452;1,758;9,286;9,994;3,57
007;007;0,2/0,6/0,8;0,2;0,157;60;0;1,00;14;NaN;0,784;NaN;0,784;NaN;NaN;NaN;1,455;0,054;-0,123;2,135;0,024;0,01;0,035;19,997;19,12;21,137;1,506;1,279;1,578;9,133;9,98;3,719
007;007;0,2/0,6/0,8;0,6;0,47;60;1;1,00;14;NaN;0,784;NaN;0,784;NaN;NaN;NaN;1,261;0,028;-0,11;1,28;0,032;0,014;0,04;20,101;19,826;21,451;1,317;1,483;1,616;9,186;9,98;4,574
007;007;0,2/0,6/0,8;0,8;0,627;60;5;1,00;14;NaN;0,784;NaN;0,784;NaN;NaN;NaN;0,88;-0,184;-0,076;-11,83;0,027;0,014;0,036;19,924;19,489;21,654;1,875;1,52;1,722;9,246;9,96;3,991
008;008;0,2/0,6/0,8;0,2;0,167;60;1;1,00;13,5;NaN;0,834;NaN;0,834;NaN;NaN;NaN;1,529;0,076;-0,131;2,833;0,018;0,01;0,025;19,98;18,72;20,952;1,508;1,339;1,806;9,096;9,939;4,532
008;008;0,2/0,6/0,8;0,6;0,5;60;1;1,00;13,5;NaN;0,834;NaN;0,834;NaN;NaN;NaN;1,142;-0,251;-0,097;-12,399;0,027;0,014;0,024;20,309;19,59;21,484;1,923;1,49;1,64;9,171;9,923;5,017
008;008;0,2/0,6/0,8;0,8;0,667;60;3;1,00;13,5;NaN;0,834;NaN;0,834;NaN;NaN;NaN;0,843;-0,211;-0,066;-14,063;0,031;0,013;0,027;20,263;19,984;21,732;1,57;1,536;1,613;9,2;9,956;3,942
009;009;0,2/0,6/0,8;0,2;0,145;60;0;1,00;13;NaN;0,723;NaN;0,723;NaN;NaN;NaN;1,541;-0,016;-0,73;-0,598;0,017;0,01;0,303;19,439;19,342;3,958;1,672;1,515;7,372;9,087;9,947;2,341
009;009;0,2/0,6/0,8;0,6;0,434;60;4;1,00;13;NaN;0,723;NaN;0,723;NaN;NaN;NaN;1,043;-0,493;-0,065;-25,298;0,022;0,013;0,025;19,74;19,161;21,87;1,563;1,415;1,628;9,095;9,922;3,953
009;009;0,2/0,6/0,8;0,8;0,578;60;1;1,00;13;NaN;0,723;NaN;0,723;NaN;NaN;NaN;0,906;-0,223;-0,032;-13,836;0,023;0,012;0,031;21,075;20,565;22,762;1,928;1,979;1,99;9,133;9,96;3,591
010;010;0,2/0,6/0,8;0,2;0,132;60;2;1,00;12,5;NaN;0,658;NaN;0,658;NaN;NaN;NaN;1,416;-0,037;-0,031;-1,514;0,017;0,008;0,021;19,153;18,592;20,502;1,663;1,619;1,451;9,058;9,921;3,752
010;010;0,2/0,6/0,8;0,6;0,395;60;0;1,00;12,5;NaN;0,658;NaN;0,658;NaN;NaN;NaN;1,172;-0,035;-0,002;-1,702;0,028;0,011;0,039;19,677;18,448;20,666;1,415;1,569;1,736;9,058;9,9;5,78
010;010;0,2/0,6/0,8;0,8;0,526;60;0;1,00;12,5;NaN;0,658;NaN;0,658;NaN;NaN;NaN;0,847;-0,223;-0,058;-14,755;0,022;0,013;0,035;20,03;19,328;21,199;1,74;1,763;1,502;9,095;9,927;4,192
011;011;0,2/0,6/0,8;0,2;0,112;60;11;1,00;12;NaN;0,56;NaN;0,56;NaN;NaN;NaN;1,384;0,157;0,043;6,452;0,016;0,009;0,06;19,121;18,452;12,295;1,62;1,402;9,585;9,055;9,913;3,612
011;011;0,2/0,6/0,8;0,6;0,336;60;0;1,00;12;NaN;0,56;NaN;0,56;NaN;NaN;NaN;1,117;0,02;-0,105;1,028;0,027;0,009;0,039;18,961;18,467;21,056;1,552;1,298;1,792;9,058;9,913;3,443
011;011;0,2/0,6/0,8;0,8;0,448;60;0;1,00;12;NaN;0,56;NaN;0,56;NaN;NaN;NaN;0,977;-0,032;-0,064;-1,906;0,027;0,01;0,043;19,414;18,939;21,272;1,47;1,936;1,205;9,058;9,897;4,397
012;012;0,2/0,6/0,8;0,2;0,093;60;17;1,00;11,5;NaN;0,465;NaN;0,465;NaN;NaN;NaN;1,372;0,096;0,041;4,01;0,018;0,008;0,051;20,212;19,576;2,611;1,607;1,66;2,741;9,02;9,908;3,452
012;012;0,2/0,6/0,8;0,6;0,279;60;2;1,00;11,5;NaN;0,465;NaN;0,465;NaN;NaN;NaN;1,102;-0,067;-0,072;-3,48;0,021;0,008;0,027;20,016;19,689;22,268;2,372;3,048;2,712;9,02;9,894;3,042
012;012;0,2/0,6/0,8;0,8;0,372;60;2;1,00;11,5;NaN;0,465;NaN;0,465;NaN;NaN;NaN;0,81;-0,123;-0,147;-8,67;0,025;0,009;0,029;19,63;19,347;21,101;1,387;1,991;1,818;9,022;9,877;4,065
013;013;0,2/0,8;0,2;0,083;60;5;1,00;11;NaN;0,416;NaN;0,416;NaN;NaN;NaN;1,278;0,176;-0,061;7,837;0,016;0,005;0,021;19,75;19,12;20,992;1,778;1,681;1,567;9,02;9,889;3,241
013;013;0,2/0,8;0,8;0,333;60;2;1,00;11;NaN;0,416;NaN;0,416;NaN;NaN;NaN;0,823;0,011;-0,058;0,775;0,027;0,008;0,034;19,602;19,663;21,492;1,593;1,898;2,263;9,02;9,903;2,852
014;014;0,6;0,6;0,232;60;0;1,00;10,52;NaN;0,387;NaN;0,387;NaN;NaN;NaN;0,884;0,065;-0,083;4,21;0,024;0,008;0,024;19,279;19,546;21,026;1,661;1,703;1,818;9,02;9,881;3,015
015;015;0,6;0,6;0,207;60;3;1,00;10;NaN;0,345;NaN;0,345;NaN;NaN;NaN;0,956;0,132;-0,076;7,833;0,023;0,007;0,031;20,264;20,177;22,152;1,836;1,696;2,024;9,011;9,88;3,169
016;016;0,6;0,6;0,184;60;0;1,00;9,5;NaN;0,306;NaN;0,306;NaN;NaN;NaN;0,881;0,095;-0,063;6,183;0,017;0,008;0,028;20,393;20,153;22,46;2,066;1,59;2,047;8,984;9,874;3,161
017;017;0,6;0,6;0,163;60;3;1,00;9;NaN;0,271;NaN;0,271;NaN;NaN;NaN;0,776;0,116;-0,095;8,521;0,019;0,005;0,017;21,631;20,329;22,753;1,83;1,93;1,914;8,982;9,879;3,285
018;018;0,6;0,6;0,139;60;3;1,00;8,5;NaN;0,232;NaN;0,232;NaN;NaN;NaN;0,697;0,038;-0,032;3,089;0,018;0,005;0,022;22,699;22,737;24,314;1,904;2,156;2,235;8,982;9,868;3,168
019;019;0,6;0,6;0,131;60;0;1,00;8;NaN;0,218;NaN;0,218;NaN;NaN;NaN;0,641;0,038;-0,044;3,361;0,016;0,006;0,026;22,582;22,178;24,185;2,113;1,847;1,953;8,982;9,866;3,039
020;020;0,6;0,6;0,122;60;1;1,00;7,5;NaN;0,204;NaN;0,204;NaN;NaN;NaN;0,54;0,093;-0,07;9,752;0,016;0,005;0,017;22,538;21,935;24,281;2,199;2,123;2,196;8,982;9,873;3,161
021;021;0,6;0,6;0,122;60;2;1,00;7;NaN;0,203;NaN;0,203;NaN;NaN;NaN;0,559;0,036;-0,06;3,66;0,014;0,005;0,019;23,749;24,454;26,04;2,15;2,486;2,241;8,982;9,847;3,145
022;022;0,6;0,6;0,104;60;2;1,00;6,5;NaN;0,174;NaN;0,174;NaN;NaN;NaN;0,533;0,006;-0,041;0,602;0,014;0,003;0,015;23,037;23,133;24,468;1,681;2,211;2,348;8,98;9,885;3,006
023;023;0,6;0,6;0,092;60;2;1,00;6;NaN;0,154;NaN;0,154;NaN;NaN;NaN;0,517;-0,037;-0,029;-4,139;0,011;0,004;0,014;23,85;23,262;25,235;2,434;2,174;2,549;8,959;9,88;3,336
024;024;0,6;0,6;0,091;60;2;1,00;5,5;NaN;0,151;NaN;0,151;NaN;NaN;NaN;0,429;-0,019;-0,052;-2,547;0,014;0,005;0,019;21,989;22,225;23,377;2,6;2,375;2,509;8,946;9,834;3,22
025;025;0,6;0,6;0,083;60;3;1,00;5;NaN;0,139;NaN;0,139;NaN;NaN;NaN;0,439;0,03;-0,021;3,938;0,011;0,006;0,018;24,347;24,205;25,224;2,372;2,341;2,752;8,944;9,832;2,852
026;026;0,6;0,6;0,086;60;1;1,00;4,5;NaN;0,143;NaN;0,143;NaN;NaN;NaN;0,202;-0,029;-0,001;-8,273;0,012;0,005;0,018;23,376;23,011;25,627;2,217;2,632;2,689;8,944;9,829;3,173
027;027;0,6;0,6;0,088;60;0;1,00;4;NaN;0,147;NaN;0,147;NaN;NaN;NaN;0,403;-0,009;-0,045;-1,228;0,011;0,003;0,013;23,01;23,181;24,892;2,321;2,383;2,584;8,944;9,82;3,099
028;028;0,6;0,6;0,088;60;3;1,00;3,5;NaN;0,146;NaN;0,146;NaN;NaN;NaN;0,416;0,023;-0,02;3,182;0,007;0,003;0,01;20,758;20,26;22,44;2,195;2,315;2,153;8,944;9,826;3,284
029;029;0,6;0,6;0,079;60;2;1,00;3;NaN;0,131;NaN;0,131;NaN;NaN;NaN;0,219;-0,004;0,024;-1,106;0,006;0,003;0,017;23,503;22,937;26,8;3,337;3,033;2,669;8,944;9,864;1,218
