Desktop_Software_Build_Version,2.0
#;St;Methode;%Tiefe;MeasD;Npts;Spike;KorrFakt;Loc;LocY;Tiefe1;Tiefe2;FinalD;IceD;WsIceD;WsSlushD;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;SNRStd1;SNRStd2;SNRStd3;Temp;Batt;Neigung
();();();();(m);();();();(m);(m);(m);(m);(m);(m);(m);(m);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);(dB);(dB);(dB);(° C);(V);(deg)
001;001;0,6;0,6;0,161;60;5;1,00;17;NaN;0,269;NaN;0,269;NaN;NaN;NaN;0,572;-0,002;-0,07;-0,222;0,02;0,011;0,022;21,247;20,716;23,21;1,447;1,586;1,767;9,445;10,134;3,118
002;002;0,2/0,6/0,8;0,2;0,089;60;1;1,00;16,5;NaN;0,446;NaN;0,446;NaN;NaN;NaN;1,06;0,125;-0,11;6,745;0,021;0,015;0,033;25,709;25,554;27,213;4,659;4,654;4,138;9,321;10,089;3,269
002;002;0,2/0,6/0,8;0,6;0,268;60;4;1,00;16,5;NaN;0,446;NaN;0,446;NaN;NaN;NaN;0,759;-0,013;-0,099;-0,958;0,025;0,013;0,025;21,193;21,25;23,078;1,574;1,613;1,384;9,394;10,111;3,633
002;002;0,2/0,6/0,8;0,8;0,357;60;3;1,00;16,5;NaN;0,446;NaN;0,446;NaN;NaN;NaN;0,527;-0,226;-0,039;-23,259;0,023;0,011;0,02;22,223;22,129;24,082;2,056;2,023;2,216;9,413;10,114;2,957
003;003;0,2/0,6/0,8;0,2;0,114;60;1;1,00;16;NaN;0,571;NaN;0,571;NaN;NaN;NaN;1,211;-0,088;-0,076;-4,178;0,022;0,016;0,039;23,561;22,902;25,455;1,972;1,376;1,468;9,239;10,071;3,562
003;003;0,2/0,6/0,8;0,6;0,343;60;1;1,00;16;NaN;0,571;NaN;0,571;NaN;NaN;NaN;0,855;-0,107;-0,066;-7,157;0,026;0,017;0,034;29,055;28,585;30,711;2,601;2,782;2,507;9,322;10,069;3,764
003;003;0,2/0,6/0,8;0,8;0,457;60;1;1,00;16;NaN;0,571;NaN;0,571;NaN;NaN;NaN;0,599;-0,103;-0,121;-9,765;0,032;0,015;0,032;35,967;36,15;37,901;7,022;6,798;6,883;9,361;10,058;3,624
004;004;0,2/0,6/0,8;0,2;0,131;60;2;1,00;15,5;NaN;0,655;NaN;0,655;NaN;NaN;NaN;1,295;-0,059;-0,084;-2,618;0,021;0,015;0,033;21,434;21,081;22,856;1,519;1,719;1,411;9,211;10,049;3,932
004;004;0,2/0,6/0,8;0,6;0,393;60;0;1,00;15,5;NaN;0,655;NaN;0,655;NaN;NaN;NaN;1,018;-0,253;-0,118;-13,975;0,027;0,016;0,034;22,473;20,977;23,39;1,517;1,444;1,658;9,284;9,997;4,929
004;004;0,2/0,6/0,8;0,8;0,524;60;1;1,00;15,5;NaN;0,655;NaN;0,655;NaN;NaN;NaN;0,716;-0,158;-0,082;-12,433;0,025;0,019;0,028;22,75;22,49;24,563;1,607;1,768;1,407;9,322;10,069;3,527
005;005;0,2/0,6/0,8;0,2;0,139;60;0;1,00;15;NaN;0,696;NaN;0,696;NaN;NaN;NaN;1,491;-0,038;-0,132;-1,47;0,02;0,011;0,034;20,834;20,436;22,335;1,489;1,567;1,484;9,171;10,017;3,129
