St;Uhr;GPSLat;GPSLon;Loc;LocY;FinalD;IceD;WsIceD;WsSlushD;%Tiefe;MeasD;Npts;Spike;VelX;VelY;VelZ;Winkel;VxErr;VyErr;VzErr;SNR1;SNR2;SNR3;Bnd;Temp;Neigung;KorrFakt;MeanV;Fläche;Durchfluss;%Q
(#);();(deg N);(deg E);(m);(m);(m);(m);(m);(m);();(m);(#);(#);(m/s);(m/s);(m/s);(deg);(m/s);(m/s);(m/s);(dB);(dB);(dB);();(° C);(deg);();(m/s);(m²);(m³/s);(%)
004;11:07:15;47,54064N;011,35348E;2;NaN;0,475;NaN;NaN;NaN;0,8;0,38;60;2;0,836;0,301;-0,16;19,792;0,022;0,012;0,029;28,287;27,396;29,429;Best;8,959;4,468;1,00;NaN;NaN;NaN;NaN
005;11:12:51;47,54063N;011,35349E;2,5;NaN;0,505;NaN;NaN;NaN;0,2;0,101;60;2;1,424;-0,136;-0,048;-5,441;0,012;0,005;0,015;24,39;24,117;26,229;Best;8,944;3,574;1,00;1,078;0,253;0,272;5,115
005;11:11:52;47,54063N;011,35349E;2,5;NaN;0,505;NaN;NaN;NaN;0,6;0,303;60;1;1,08;-0,482;-0,05;-24,041;0,021;0,014;0,025;24,606;23,614;25,879;Best;8,944;4,666;1,00;NaN;NaN;NaN;NaN
005;11:10:54;47,54063N;011,35349E;2,5;NaN;0,505;NaN;NaN;NaN;0,8;0,404;60;0;0,728;-0,247;-0,089;-18,783;0,025;0,011;0,034;24,488;24,283;26,274;Best;8,944;4,813;1,00;NaN;NaN;NaN;NaN
006;11:17:02;47,54067N;011,35347E;3;NaN;0,518;NaN;NaN;NaN;0,2;0,104;60;5;1,519;-0,07;-0,357;-2,643;0,008;0,008;0,226;24,024;23,339;3,349;Best;8,944;3,86;1,00;1,241;0,259;0,322;6,041
006;11:16:00;47,54067N;011,35347E;3;NaN;0,518;NaN;NaN;NaN;0,6;0,311;60;2;1,286;-0,309;-0,027;-13,508;0,019;0,012;0,024;24,523;24,157;25,927;Best;8,959;2,622;1,00;NaN;NaN;NaN;NaN
006;11:14:29;47,54067N;011,35347E;3;NaN;0,518;NaN;NaN;NaN;0,8;0,414;60;1;0,875;-0,374;0,007;-23,144;0,029;0,013;0,038;24,245;24,201;25,681;Best;8,951;5,681;1,00;NaN;NaN;NaN;NaN
007;11:20:51;47,54066N;011,35348E;3,5;NaN;0,486;NaN;NaN;NaN;0,2;0,097;60;16;1,578;0,155;0,058;5,607;0,013;0,009;0,032;24,338;24,176;7,081;Best;8,951;4,338;1,00;1,304;0,243;0,317;5,956
007;11:19:56;47,54066N;011,35348E;3,5;NaN;0,486;NaN;NaN;NaN;0,6;0,292;60;4;1,332;0,104;-0,052;4,476;0,021;0,01;0,034;25,116;24,474;26,456;Best;8,982;3,797;1,00;NaN;NaN;NaN;NaN
007;11:18:47;47,54066N;011,35348E;3,5;NaN;0,486;NaN;NaN;NaN;0,8;0,389;60;0;0,975;-0,085;-0,047;-4,983;0,033;0,012;0,038;24,942;24,5;26,023;Best;8,982;5,952;1,00;NaN;NaN;NaN;NaN
008;11:25:12;47,54066N;011,35348E;4;NaN;0,513;NaN;NaN;NaN;0,2;0,103;60;5;1,555;0,1;-0,703;3,676;0,018;0,009;0,224;26,448;25,771;4,36;Best;9,02;2,54;1,00;1,35;0,257;0,346;6,506
008;11:23:45;47,54066N;011,35348E;4;NaN;0,513;NaN;NaN;NaN;0,6;0,308;60;4;1,399;-0,204;0,002;-8,29;0,026;0,011;0,03;26,033;25,3;27,592;Best;9,02;2,402;1,00;NaN;NaN;NaN;NaN
008;11:22:29;47,54066N;011,35348E;4;NaN;0,513;NaN;NaN;NaN;0,8;0,41;60;0;1,047;-0,079;-0,077;-4,297;0,034;0,013;0,042;25,746;25,52;27,403;Best;9,02;4,625;1,00;NaN;NaN;NaN;NaN
009;11:28:56;47,54066N;011,35349E;4,5;NaN;0,494;NaN;NaN;NaN;0,2;0,099;60;1;1,577;-0,035;0,171;-1,274;0,019;0,008;0,384;28,313;27,427;-0,236;Best;9,058;3,328;1,00;1,302;0,247;0,322;6,045
009;11:28:02;47,54066N;011,35349E;4,5;NaN;0,494;NaN;NaN;NaN;0,6;0,296;60;0;1,338;-0,39;0,005;-16,268;0,022;0,012;0,029;27,197;26,769;28,601;Best;9,058;6,836;1,00;NaN;NaN;NaN;NaN
009;11:26:44;47,54066N;011,35349E;4,5;NaN;0,494;NaN;NaN;NaN;0,8;0,395;60;0;0,958;0,028;-0,033;1,67;0,036;0,011;0,044;26,849;26,209;29,046;Best;9,058;5,651;1,00;NaN;NaN;NaN;NaN
010;11:33:01;47,54067N;011,35350E;5;NaN;0,515;NaN;NaN;NaN;0,2;0,103;60;6;1,7;-0,183;-1,127;-6,154;0,013;0,016;0,271;28,681;28,197;3,439;Best;9,095;4,499;1,00;1,257;0,258;0,324;6,083
010;11:31:27;47,54067N;011,35350E;5;NaN;0,515;NaN;NaN;NaN;0,6;0,309;60;0;1,186;0,07;-0,053;3,386;0,033;0,013;0,047;27,432;27,177;28,816;Best;9,095;3,705;1,00;NaN;NaN;NaN;NaN
010;11:30:29;47,54067N;011,35350E;5;NaN;0,515;NaN;NaN;NaN;0,8;0,412;60;0;0,958;-0,166;-0,102;-9,823;0,037;0,016;0,058;27,681;27,224;29,47;Best;9,095;7,986;1,00;NaN;NaN;NaN;NaN
011;11:36:56;47,54067N;011,35348E;5,5;NaN;0,513;NaN;NaN;NaN;0,2;0,103;60;0;1,614;0,153;0,221;5,42;0,022;0,014;0,348;28,512;28,265;0,139;Best;9,133;3,457;1,00;1,283;0,257;0,329;6,185
011;11:35:53;47,54067N;011,35348E;5,5;NaN;0,513;NaN;NaN;NaN;0,6;0,308;60;1;1,233;0,092;-0,077;4,277;0,036;0,013;0,043;28,728;27,718;29,975;Best;9,133;3,9;1,00;NaN;NaN;NaN;NaN
